,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
2862,3466740.004,03/02/2020,12/31/1899,GVT15          ,W,L,L,G71  ,99.875,99 7/8,32,83.5,83 1/2,68-3250-40     ,"'3.5""X16'' CR KNSNGTON FRSH LN-2'",100,100,68-3250-40     ,"'3.5""X16'' CR KNSNGTON FRSH LN-2'",,,FALSO
380,3432038.005,02/26/2020,12/31/1899,BVT15          ,W,L,L,G98  ,60.6875,60 11/16,20,77.25,77 1/4,68-9307-41     ,3.5X82.5CR DPLX IVORY -3,60.875,60 7/8,68-9307-40     ,3.5X16CR DPLX IVORY -3,,,FALSO
1645,3452974.001,02/28/2020,12/31/1899,BVT15          ,B,R,S,G85  ,62.75,62 3/4,22,48.5,48 1/2,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,63,63,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
2859,3466740.001,03/02/2020,12/31/1899,GVT15          ,W,R,R,G71  ,98.875,98 7/8,32,83.5,83 1/2,68-3250-40     ,"'3.5""X16'' CR KNSNGTON FRSH LN-2'",99,99,68-3250-40     ,"'3.5""X16'' CR KNSNGTON FRSH LN-2'",,,FALSO
2561,3463322.001,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,36.75,36 3/4,12,53.5,53 1/2,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",37,37,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
1237,3447024.001,02/28/2020,03/02/2020,GVT15LVR       ,,, ,G85  ,,,4,82.25,82 1/4,68-9307-41     ,3.5X82.5CR DPLX IVORY -3,,,,,,,FALSO
585,3437713.001,02/27/2020,03/02/2020,BVT15          ,W,R,R,G85  ,67.75,67 3/4,22,76.25,76 1/4,68-3330-41     ,3.5X82.5 LTHS S WHT -2,68,68,68-3980-40     ,3.5X16 CRWN LTHS WHITE -2,,,FALSO
2252,3459698.002,03/02/2020,12/31/1899,BVT15          ,B,R,R,G98  ,86.4375,86  7/16,28,94.5,94 1/2,68-6698-40     ,"'3.5""X16''GRGTOWN-S CPTOL HILL-2'",87,87,68-6498-40     ,"'3.5""X16''CRWN GRGTOWN CAPTLHL-2'",,,FALSO
128,3411244.001,02/24/2020,12/31/1899,GVT15          ,W,R,R,G98  ,29.8125,29 13/16,10,36.375,36 3/8,68-3356-41     ,"3.45""X82.5"" CROWN WHITE -1",30.25,30 1/4,68-3356-41     ,"3.45""X82.5"" CROWN WHITE -1",,,FALSO
1878,3455199.005,02/29/2020,12/31/1899,BVT15          ,B,R,R,G98  ,33.9375,33 15/16,11,68.125,68 1/8,68-3391-41     ,3.5X82.5 QTM S-SHP CREAM -3,34.5,34 1/2,68-6879-40     ,3.5X16 EMB QTM CREAM -3,,,FALSO
362,3431748.011,02/26/2020,02/27/2020,GVT15          ,B,R,R,G98  ,77.4375,77  7/16,25,81.5,81 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,78,78,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
254,3427481.001,02/26/2020,02/28/2020,BVT15          ,B,L,S,G85  ,69.25,69 1/4,24,73.5,73 1/2,68-3415-40     ,3.5X16 BRUSSELS WILLOW -1,69.5,69 1/2,68-3415-40     ,3.5X16 BRUSSELS WILLOW -1,,,FALSO
881,3442394.001,02/27/2020,12/31/1899,GVT15          ,B,L,L,G85  ,87.75,87 3/4,28,104.5,104 1/2,68-3356-40     ,3.45X16 CRWN/HAMLTN WHITE -1,88,88,68-3356-40     ,3.45X16 CRWN/HAMLTN WHITE -1,,,FALSO
688,3438907.008,03/02/2020,12/31/1899,GVT15          ,B,L,L,G98  ,70.4375,70  7/16,23,80,80,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,71,71,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,,,FALSO
1808,3454612.012,02/29/2020,12/31/1899,BVT15          ,B,L,L,G85  ,33.75,33 3/4,11,56.5,56 1/2,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,34,34,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,,,FALSO
