,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
581,3437636.004,02/27/2020,02/28/2020,BVT15          ,B,L,L,G85  ,23.75,23 3/4,8,108.5,108 1/2,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,24,24,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
1990,3456808.001,02/29/2020,03/02/2020,SSVT15         ,W,L,L,G85  ,77.75,77 3/4,25,82.25,82 1/4,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,78,78,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,,,FALSO
3008,3469574.001,03/02/2020,12/31/1899,SSVT15         ,B,R,S,G98  ,72.3125,72  5/16,24,59.5,59 1/2,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,72.875,72 7/8,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,,,FALSO
584,3437650.002,02/27/2020,03/02/2020,BVT15          ,W,R,R,G98  ,65.8125,65 13/16,22,60.5,60 1/2,68-6699-40     ,"'3.5""X16''GRGTOWN-S NTONL MALL-4'",66,66,68-6499-40     ,"'3.5""X16''CRWN GRGTOWN NANLMLL-4'",,,FALSO
957,3443401.001,02/27/2020,12/31/1899,BVT15LVR       ,W,,R,G85  ,,,25,84,84,68-6584-40     ,3.5X16 CR GROTTO STORMCLOUD 4,,,,,,,FALSO
1035,3444517.005,02/27/2020,02/27/2020,SSVT15         ,W,R,R,G98  ,104.9375,104 15/16,34,92.375,92 3/8,68-9303-40     ,3.5X16CR DPLX ALAB -2,105.125,105 1/8,68-9303-40     ,3.5X16CR DPLX ALAB -2,,,FALSO
2748,3465215.001,03/02/2020,12/31/1899,GVT15          ,B,R,R,G71  ,68.375,68 3/8,22,66.4375,66  7/16,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,,,,,,,FALSO
2851,3466266.004,03/02/2020,03/02/2020,BVT15          ,W,R,R,G85  ,70.25,70 1/4,23,78.25,78 1/4,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,70.5,70 1/2,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
2643,3464298.002,03/02/2020,12/31/1899,GVT15          ,B,R,L,G85  ,62,62,20,55.5,55 1/2,68-9021-40     ,3.5X16 CR STOWE RESORT -2,62.25,62 1/4,68-9021-40     ,3.5X16 CR STOWE RESORT -2,,,FALSO
683,3438907.003,03/02/2020,12/31/1899,GVT15          ,B,L,L,G98  ,54.4375,54  7/16,18,66.5,66 1/2,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,55,55,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,,,FALSO
305,3429192.001,02/26/2020,02/28/2020,BVT15          ,B,L,L,G85  ,79.75,79 3/4,26,98,98,68-9303-40     ,3.5X16CR DPLX ALAB -2,80,80,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,,,FALSO
1544,3451657.002,02/28/2020,03/02/2020,GVT15          ,B,R,R,G71  ,70.625,70 5/8,23,44,44,68-6587-40     ,"'3.5"" X 16'' GROTTO ALAB -2'",70.75,70 3/4,68-6587-40     ,"'3.5"" X 16'' GROTTO ALAB -2'",,,FALSO
384,3432038.009,02/26/2020,12/31/1899,BVT15          ,W,L,L,G98  ,56.0625,56  1/16,19,75.375,75 3/8,68-9307-41     ,3.5X82.5CR DPLX IVORY -3,56.25,56 1/4,68-9307-40     ,3.5X16CR DPLX IVORY -3,,,FALSO
1013,3444492.002,02/27/2020,02/27/2020,SSVT15         ,B,R,R,G71  ,137.375,137 3/8,44,110.5,110 1/2,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,,,,,FALSO
2959,3468717.002,03/02/2020,12/31/1899,GVT15          ,B,R,R,G98  ,74.1875,74  3/16,24,51.125,51 1/8,68-9307-40     ,3.5X16CR DPLX IVORY -3,74.75,74 3/4,68-9307-41     ,3.5X82.5CR DPLX IVORY -3,,,FALSO
1312,3448063.006,02/28/2020,02/28/2020,SSVT15         ,W,L,L,G98  ,34.4375,34  7/16,12,44.625,44 5/8,68-3640-40     ,3.5X16 SAFARI BUFFALO -4,34.625,34 5/8,68-3640-40     ,3.5X16 SAFARI BUFFALO -4,,,FALSO
157,3418783.001,02/24/2020,02/28/2020,GVT15          ,B,L,L,G98  ,55.4375,55  7/16,18,54.75,54 3/4,68-3447-40     ,3.5X16 CR LTSCRN IVRY 40PRF -3,,,,,,,FALSO
141,3416358.004,02/27/2020,02/27/2020,SSVT15         ,B,L,L,G71  ,95.875,95 7/8,31,82.5,82 1/2,68-9306-40     ,3.5X16CR DPLX WHT -2,96,96,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
418,3434115.002,02/27/2020,02/28/2020,BVT15          ,B,R,R,G85  ,99.75,99 3/4,32,40.5,40 1/2,68-3973-40     ,3.5X16 FIBER WHITE -2,100,100,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
2417,3461281.001,03/02/2020,12/31/1899,BVT15          ,W,L,L,G98  ,77.8125,77 13/16,26,82.5,82 1/2,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,78,78,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
1400,3449378.004,03/02/2020,12/31/1899,SSVT15         ,B,L,L,G71  ,70.5,70 1/2,23,76.5,76 1/2,68-3397-40     ,3.5X16 QTM S-SHP SHIPWRECK 4,71.5,71 1/2,68-6875-40     ,3.5X16 EMB QUANTUM SHIPWRECK 4,,,FALSO
1503,3451129.014,02/28/2020,03/02/2020,SSVT15         ,B,R,R,G85  ,78.25,78 1/4,25,97,97,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,78.5,78 1/2,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,,,FALSO
922,3442841.009,02/28/2020,02/28/2020,SSVT15         ,B,R,R,G71  ,109.625,109 5/8,35,92.5,92 1/2,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,109.75,109 3/4,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,,,FALSO
403,3433159.001,02/26/2020,02/28/2020,GVT15          ,B,R,R,G98  ,57.1875,57  3/16,36,36.625,36 5/8,68-3736-40     ,2X16 CROWN WHITE -1,,,,,,,FALSO
1773,3454358.001,02/28/2020,03/02/2020,SSVT15         ,W,L,L,G71  ,80.25,80 1/4,26,83.375,83 3/8,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,80.375,80 3/8,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,,,FALSO
240,3426109.008,02/25/2020,02/28/2020,BVT15          ,W,L,L,G98  ,80.9375,80 15/16,27,84.375,84 3/8,68-3773-40     ,3.5X16 CR LKFRST CLPSO NATURL4,81.125,81 1/8,68-3773-40     ,3.5X16 CR LKFRST CLPSO NATURL4,,,FALSO
2035,3457124.001,03/02/2020,12/31/1899,BVT15          ,B,R,S,G98  ,112.4375,112  7/16,38,70.5,70 1/2,68-9683-40     ,3.5X16HOMESPUN II S BEACH -3,113,113,68-9113-40     ,3.5X16HOMESPUN II BEACH -3,,,FALSO
319,3429731.001,02/29/2020,03/02/2020,GVT15          ,B,L,L,G71  ,84.875,84 7/8,27,82.5,82 1/2,68-6700-40     ,"'3.5""X16''GRGTOWN-S SMITHSIAN-4'",85,85,68-6500-40     ,"'3.5""X16''CRWN GRGTOWN SMTHSAN-4'",,,FALSO
1214,3446504.005,02/28/2020,03/02/2020,SSVT15         ,B,R,R,G71  ,74.125,74 1/8,24,82.5,82 1/2,68-3331-40     ,3.5X16 LTHS S MSTY WHT -2,74.25,74 1/4,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,,,FALSO
1292,3447700.007,02/28/2020,03/02/2020,BVT15          ,B,R,S,G85  ,77.5,77 1/2,26,36,36,68-9306-41     ,3.5X82.5CR DPLX WHT -2,77.75,77 3/4,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
1760,3454258.002,02/28/2020,12/31/1899,GVT15          ,B,L,S,G71  ,38.375,38 3/8,14,34.75,34 3/4,68-6260-40     ,3.5 X 16  LINEN S SNOW -2,38.5,38 1/2,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,,,FALSO
2415,3461241.004,03/02/2020,12/31/1899,BVT15          ,B,R,L,G85  ,80.5,80 1/2,26,73,73,68-3773-40     ,3.5X16 CR LKFRST CLPSO NATURL4,80.75,80 3/4,68-3773-40     ,3.5X16 CR LKFRST CLPSO NATURL4,,,FALSO
1551,3452010.002,02/29/2020,03/02/2020,BVT15          ,B,R,L,G98  ,59.4375,59  7/16,20,95.5,95 1/2,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,60,60,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,FALSO
907,3442705.002,02/27/2020,02/27/2020,BVT15          ,W,R,R,G85  ,46.75,46 3/4,15,81.5,81 1/2,68-9021-40     ,3.5X16 CR STOWE RESORT -2,47,47,68-9021-40     ,3.5X16 CR STOWE RESORT -2,,,FALSO
2454,3461975.003,03/02/2020,03/02/2020,BVT15          ,B,L,R,G85  ,119.25,119 1/4,38,88.5,88 1/2,68-6698-40     ,"'3.5""X16''GRGTOWN-S CPTOL HILL-2'",119.5,119 1/2,68-6498-40     ,"'3.5""X16''CRWN GRGTOWN CAPTLHL-2'",,,FALSO
956,3443395.001,02/28/2020,12/31/1899,BVT15          ,W,L,L,G98  ,77.8125,77 13/16,26,80.5,80 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,78,78,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
1485,3450722.005,02/28/2020,03/02/2020,SSVT15LVR      ,B,,R,G98  ,,,5,77.25,77 1/4,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,,,,,,,FALSO
2963,3468942.001,03/02/2020,12/31/1899,BVT15          ,B,L,L,G98  ,12.9375,12 15/16,5,50.75,50 3/4,68-3395-40     ,3.5X16 QTM S-SHP MODEL -3,13.5,13 1/2,68-6881-40     ,3.5X16 EMB QTM MODEL -3,,,FALSO
2260,3459757.002,03/02/2020,12/31/1899,BVT15LVR       ,,,L,G98  ,,,2,65.5,65 1/2,68-6647-40     ,3.5X16 SAFARI S QUARRY 4,,,,,,,FALSO
1104,3445345.002,02/28/2020,02/28/2020,SSVT15         ,W,R,R,G98  ,69.4375,69  7/16,23,76.5,76 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,69.625,69 5/8,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
149,3417862.003,02/25/2020,02/27/2020,GVT15          ,B,R,R,G71  ,32.625,32 5/8,11,56.125,56 1/8,68-9303-40     ,3.5X16CR DPLX ALAB -2,32.75,32 3/4,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,,,FALSO
405,3433408.001,02/27/2020,03/02/2020,BVT15          ,W,L,L,G85  ,101.75,101 3/4,33,82.5,82 1/2,68-3391-41     ,3.5X82.5 QTM S-SHP CREAM -3,102,102,68-6879-40     ,3.5X16 EMB QTM CREAM -3,,,FALSO
