,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
2080,3457778.001,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,58.25,58 1/4,19,44.25,44 1/4,68-3897-40     ,3.5X16 CR WNDW WEAVES MILLET-2,58.5,58 1/2,68-3897-40     ,3.5X16 CR WNDW WEAVES MILLET-2,,,FALSO
1498,3451046.001,02/28/2020,02/28/2020,GVT15LVR       ,B,,R,G71  ,,,1,81.25,81 1/4,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,,,,,FALSO
2481,3462264.001,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,74.25,74 1/4,24,82,82,68-9014-40     ,3.5X16 STOWE BONE -2,74.5,74 1/2,68-9014-40     ,3.5X16 STOWE BONE -2,,,FALSO
1243,3447148.003,02/28/2020,12/31/1899,GVT15          ,B,R,R,G85  ,107.75,107 3/4,35,100.5,100 1/2,68-9306-40     ,3.5X16CR DPLX WHT -2,108,108,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
906,3442705.001,02/27/2020,02/27/2020,BVT15          ,W,L,L,G85  ,46.75,46 3/4,15,81.5,81 1/2,68-9021-40     ,3.5X16 CR STOWE RESORT -2,47,47,68-9021-40     ,3.5X16 CR STOWE RESORT -2,,,FALSO
2362,3460884.004,03/02/2020,12/31/1899,BVT15          ,B,R,S,G98  ,95.4375,95  7/16,32,93.5,93 1/2,68-3131-40     ,3.5X16 CR ACOPOLIS POSEIDON -2,96,96,68-3131-40     ,3.5X16 CR ACOPOLIS POSEIDON -2,,,FALSO
237,3426109.005,02/25/2020,02/28/2020,BVT15          ,B,L,L,G98  ,117.9375,117 15/16,38,84.375,84 3/8,68-3773-40     ,3.5X16 CR LKFRST CLPSO NATURL4,118.5,118 1/2,68-3773-40     ,3.5X16 CR LKFRST CLPSO NATURL4,,,FALSO
1133,3445513.003,02/28/2020,12/31/1899,BVT15          ,B,R,S,G98  ,57.6255,,20,31.625,31 5/8,68-3397-40     ,3.5X16 QTM S-SHP SHIPWRECK 4,58.188,,68-6875-40     ,3.5X16 EMB QUANTUM SHIPWRECK 4,,,FALSO
1150,3445884.001,02/28/2020,12/31/1899,BVT15          ,W,R,R,G85  ,67.75,67 3/4,22,80.5,80 1/2,68-6693-40     ,"'3.5""X16''GRGTOWN-S TWNY -3'",68,68,68-6493-40     ,"'3.5""X16''CRWN GRGTOWN TWNY -3'",,,FALSO
1857,3455185.008,02/29/2020,12/31/1899,BVT15          ,B,L,S,G85  ,77.375,77 3/8,26,63.5,63 1/2,68-6691-40     ,"'3.5""X16''GRGTOWN-S WHITE -3'",77.625,77 5/8,68-6491-40     ,"'3.5""X16''CRWN GRGTOWN WHT -3'",,,FALSO
1632,3452926.003,02/29/2020,12/31/1899,BVT15          ,W,L,L,G98  ,70.0625,70  1/16,23,32.875,32 7/8,68-3970-40     ,3.5X16 FIBER SANDSTONE -2,70.25,70 1/4,68-3970-40     ,3.5X16 FIBER SANDSTONE -2,,,FALSO
2068,3457741.002,02/29/2020,03/02/2020,BVT15          ,B,L,L,G85  ,121.25,121 1/4,39,72.125,72 1/8,68-6584-40     ,3.5X16 CR GROTTO STORMCLOUD 4,121.5,121 1/2,68-6584-40     ,3.5X16 CR GROTTO STORMCLOUD 4,,,FALSO
454,3435232.002,02/27/2020,02/27/2020,GVT15          ,B,R,R,G71  ,67.125,67 1/8,22,96.25,96 1/4,68-6657-40     ,3.5X16 EMB.CACHET IVORY -3,67.25,67 1/4,68-6657-40     ,3.5X16 EMB.CACHET IVORY -3,,,FALSO
2213,3459288.001,03/02/2020,12/31/1899,BVT15          ,B,R,S,G98  ,97.4375,97  7/16,32,78.5,78 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,98,98,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
1463,3450483.002,02/28/2020,12/31/1899,BVT15LVR       ,,, ,G85  ,,,15,43.75,43 3/4,68-9020-40     ,3.5X16 CR STOWE YEW  -2,,,,,,,FALSO
2410,3461206.004,03/02/2020,12/31/1899,BVT15          ,W,R,R,G85  ,91.75,91 3/4,30,82.5,82 1/2,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,92,92,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,,,FALSO
1255,3447437.001,02/28/2020,12/31/1899,GVT15LVR       ,,,,G85  ,,,20,32.25,32 1/4,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,,,,,FALSO
1436,3450138.001,02/28/2020,12/31/1899,GVT15          ,B,R,S,G85  ,94.75,94 3/4,32,69,69,68-3447-40     ,3.5X16 CR LTSCRN IVRY 40PRF -3,,,,,,,FALSO
1860,3455185.011,02/29/2020,12/31/1899,BVT15          ,B,L,S,G85  ,119.125,119 1/8,40,61.25,61 1/4,68-6691-40     ,"'3.5""X16''GRGTOWN-S WHITE -3'",119.375,119 3/8,68-6491-40     ,"'3.5""X16''CRWN GRGTOWN WHT -3'",,,FALSO
459,3435299.01,02/26/2020,02/28/2020,BVT15          ,W,L,L,G98  ,85.5625,85  9/16,28,86.5,86 1/2,68-9684-40     ,3.5X16HOMESPUN II S CHOCO -3,85.75,85 3/4,68-9114-40     ,3.5X16HOMESPUN II CHOCO -3,,,FALSO
2434,3461658.002,03/02/2020,12/31/1899,BVT15          ,W,L,L,G98  ,44.8125,44 13/16,15,30.875,30 7/8,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,45,45,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
2432,3461596.001,03/02/2020,12/31/1899,BVT15          ,B,L,R,G85  ,111.75,111 3/4,36,48.5,48 1/2,68-9307-40     ,3.5X16CR DPLX IVORY -3,112,112,68-9307-40     ,3.5X16CR DPLX IVORY -3,,,FALSO
2887,3467366.003,03/02/2020,12/31/1899,GVT15          ,B,R,R,G71  ,61.75,61 3/4,20,79,79,68-9317-40     ,3.5X16CR DPLX CAROB -3,61.875,61 7/8,68-9317-40     ,3.5X16CR DPLX CAROB -3,,,FALSO
2027,3457090.001,03/02/2020,12/31/1899,BVT15          ,B,L,L,G85  ,70.5,70 1/2,23,68,68,68-3792-40     ,"'3.5"" X 16'' TAPESTRY MISTY -2'",70.75,70 3/4,68-3792-40     ,"'3.5"" X 16'' TAPESTRY MISTY -2'",,,FALSO
310,3429355.001,02/26/2020,02/28/2020,BVT15          ,W,L,L,G85  ,103.75,103 3/4,34,82.5,82 1/2,68-3977-40     ,3.5X16 FIBER BLOODROOT -4,104,104,68-3977-40     ,3.5X16 FIBER BLOODROOT -4,,,FALSO
137,3411244.01,02/24/2020,12/31/1899,GVT15          ,W,R,R,G98  ,85.9375,85 15/16,28,56.125,56 1/8,68-3356-40     ,3.45X16 CRWN/HAMLTN WHITE -1,86.375,86 3/8,68-3356-40     ,3.45X16 CRWN/HAMLTN WHITE -1,,,FALSO
1336,3448216.005,02/28/2020,12/31/1899,GVT15          ,W,L,L,G85  ,72.75,72 3/4,24,96.5,96 1/2,68-9306-40     ,3.5X16CR DPLX WHT -2,73,73,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
2090,3457803.002,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,44.75,44 3/4,15,43.5,43 1/2,68-9306-40     ,3.5X16CR DPLX WHT -2,45,45,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
869,3441935.001,02/27/2020,12/31/1899,BVT15          ,B,R,R,G85  ,105,105,34,67.625,67 5/8,68-9308-40     ,3.5X16CR DPLX TAN -3,105.25,105 1/4,68-9308-40     ,3.5X16CR DPLX TAN -3,,,FALSO
1891,3455359.001,03/02/2020,12/31/1899,GVT15          ,B,R,S,G71  ,116.875,116 7/8,38,69.5,69 1/2,68-9112-40     ,3.5X16HOMESPUN II BTTRSCTH -3,117,117,68-9112-40     ,3.5X16HOMESPUN II BTTRSCTH -3,,,FALSO
631,3438332.008,02/27/2020,02/28/2020,BVT15          ,B,R,S,G85  ,46.25,46 1/4,16,81,81,68-3974-40     ,3.5X16 FIBER MIDNIGHT -4,46.5,46 1/2,68-3974-40     ,3.5X16 FIBER MIDNIGHT -4,,,FALSO
1686,3453436.003,02/29/2020,03/02/2020,BVT15          ,W,L,L,G85  ,28,28,9,57,57,68-6693-40     ,"'3.5""X16''GRGTOWN-S TWNY -3'",28.25,28 1/4,68-6493-40     ,"'3.5""X16''CRWN GRGTOWN TWNY -3'",,,FALSO
2485,3462280.001,03/02/2020,12/31/1899,BVT15          ,B,L,L,G98  ,80.4375,80  7/16,26,83.5,83 1/2,68-9020-40     ,3.5X16 CR STOWE YEW  -2,81,81,68-9020-40     ,3.5X16 CR STOWE YEW  -2,,,FALSO
1227,3446660.001,02/28/2020,12/31/1899,BVT15          ,B,L,L,G98  ,75.4375,75  7/16,25,81.5,81 1/2,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,76,76,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,,,FALSO
2452,3461975.001,03/02/2020,03/02/2020,BVT15          ,W,R,R,G85  ,109.125,109 1/8,35,56.75,56 3/4,68-6698-40     ,"'3.5""X16''GRGTOWN-S CPTOL HILL-2'",109.375,109 3/8,68-6498-40     ,"'3.5""X16''CRWN GRGTOWN CAPTLHL-2'",,,FALSO
1764,3454258.006,02/28/2020,12/31/1899,GVT15          ,B,L,S,G71  ,38.625,38 5/8,14,34.75,34 3/4,68-6260-40     ,3.5 X 16  LINEN S SNOW -2,38.75,38 3/4,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,,,FALSO
1195,3446262.001,02/28/2020,12/31/1899,BVT15          ,B,L,L,G98  ,65.4375,65  7/16,22,82.5,82 1/2,68-3973-40     ,3.5X16 FIBER WHITE -2,66,66,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
1673,3453414.002,02/29/2020,12/31/1899,BVT15          ,B,L,L,G85  ,34.75,34 3/4,11,33.375,33 3/8,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",35,35,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",,,FALSO
2741,3465110.003,03/02/2020,12/31/1899,GVT15LVR       ,,,,G71  ,,,50,59,59,68-9308-40     ,3.5X16CR DPLX TAN -3,,,,,,,FALSO
1504,3451141.001,02/28/2020,03/02/2020,GVT15          ,W,R,R,G71  ,71.875,71 7/8,23,79.5,79 1/2,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,72,72,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,,,FALSO
901,3442630.003,02/27/2020,03/02/2020,BVT15          ,B,R,R,G98  ,33.9375,33 15/16,11,58.75,58 3/4,68-9683-40     ,3.5X16HOMESPUN II S BEACH -3,34.5,34 1/2,68-9113-40     ,3.5X16HOMESPUN II BEACH -3,,,FALSO
1483,3450704.003,02/28/2020,03/02/2020,GVT15          ,B,L,L,G71  ,104.5,104 1/2,33,81,81,68-9111-40     ,3.5X16HOMESPUN II IVORY -3,104.625,104 5/8,68-9111-40     ,3.5X16HOMESPUN II IVORY -3,,,FALSO
2865,3466757.002,03/02/2020,12/31/1899,BVT15LVR       ,B,,R,G85  ,,,25,81.25,81 1/4,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,,,,,,,FALSO
2352,3460802.001,03/02/2020,12/31/1899,BVT15          ,B,R,R,G98  ,155.4375,155  7/16,50,79.5,79 1/2,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,156,156,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
2787,3465312.032,03/02/2020,12/31/1899,GVT15          ,B,R,S,G71  ,108.125,108 1/8,36,57.9375,57 15/16,68-9306-40     ,3.5X16CR DPLX WHT -2,,,,,,,FALSO
184,3421241.009,02/25/2020,02/27/2020,GVT15          ,W,R,R,G71  ,84.875,84 7/8,27,84,84,68-9306-40     ,3.5X16CR DPLX WHT -2,,,,,,,FALSO
1819,3454759.001,02/29/2020,03/02/2020,BVT15          ,W,L,L,G85  ,88.75,88 3/4,29,81.5,81 1/2,68-9014-40     ,3.5X16 STOWE BONE -2,89,89,68-9014-40     ,3.5X16 STOWE BONE -2,,,FALSO
922,3442841.009,02/28/2020,02/28/2020,SSVT15         ,B,R,R,G71  ,109.625,109 5/8,35,92.5,92 1/2,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,109.75,109 3/4,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,,,FALSO
1329,3448146.003,02/28/2020,12/31/1899,GVT15          ,B,R,R,G98  ,46.4375,46  7/16,15,84.5,84 1/2,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,47,47,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,FALSO
1288,3447700.003,02/28/2020,03/02/2020,BVT15          ,B,L,S,G85  ,79.5,79 1/2,26,36,36,68-9306-41     ,3.5X82.5CR DPLX WHT -2,79.75,79 3/4,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
110,3406464.001,02/24/2020,02/28/2020,BVT15          ,B,L,L,G85  ,82,82,27,96.5,96 1/2,68-9011-40     ,3.5X16 STOWE COCOA -2,82.25,82 1/4,68-9011-40     ,3.5X16 STOWE COCOA -2,,,FALSO
40,3203123.022,01/30/2020,02/25/2020,GVT15          ,W,R,R,G85  ,46,46,15,44.25,44 1/4,68-3353-40     ,3.45X16 CRWN/HAMLTN ALAB -2,46.25,46 1/4,68-3353-40     ,3.45X16 CRWN/HAMLTN ALAB -2,,,FALSO
2805,3465445.008,03/02/2020,12/31/1899,BVT15          ,W,R,R,G98  ,57.3125,57  5/16,19,38.375,38 3/8,68-9011-40     ,3.5X16 STOWE COCOA -2,57.5,57 1/2,68-9011-40     ,3.5X16 STOWE COCOA -2,,,FALSO
2756,3465312.001,03/02/2020,12/31/1899,GVT15          ,B,R,R,G71  ,107.625,107 5/8,34,62.4375,62  7/16,68-9307-40     ,3.5X16CR DPLX IVORY -3,,,,,,,FALSO
2176,3458857.001,03/02/2020,12/31/1899,GVT15LVR       , ,,,G71  ,,,50,76.75,76 3/4,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,,,,,FALSO
1087,3445308.003,02/27/2020,02/27/2020,SSVT15         ,B,R,R,G98  ,74.0625,74  1/16,24,50.5,50 1/2,68-9303-40     ,3.5X16CR DPLX ALAB -2,74.625,74 5/8,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,,,FALSO
2320,3460618.004,03/02/2020,12/31/1899,BVT15          ,B,L,L,G85  ,55,55,18,80.875,80 7/8,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,55.25,55 1/4,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
