,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
1188,3446215.001,02/28/2020,12/31/1899,BVT15          ,B,R,S,G98  ,108.4375,108  7/16,36,76,76,68-9683-40     ,3.5X16HOMESPUN II S BEACH -3,109,109,68-9113-40     ,3.5X16HOMESPUN II BEACH -3,,,FALSO
731,3439911.004,02/27/2020,02/28/2020,BVT15          ,B,R,L,G85  ,64.5,64 1/2,21,56,56,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,64.75,64 3/4,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,,,FALSO
1495,3450886.003,02/28/2020,03/02/2020,SSVT15         ,B,L,L,G85  ,100.75,100 3/4,33,97,97,68-9306-40     ,3.5X16CR DPLX WHT -2,101,101,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
1047,3444640.001,02/28/2020,12/31/1899,BVT15          ,W,R,R,G85  ,103.75,103 3/4,34,79.5,79 1/2,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,104,104,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,,,FALSO
913,3442828.005,02/27/2020,02/27/2020,SSVT15         ,B,L,L,G98  ,79.4375,79  7/16,26,97.5,97 1/2,68-3647-40     ,3.5X16 SAFARI QUARRY 4,80,80,68-3647-40     ,3.5X16 SAFARI QUARRY 4,,,FALSO
1295,3447700.01,02/28/2020,03/02/2020,BVT15          ,B,R,S,G85  ,78,78,26,36,36,68-9306-41     ,3.5X82.5CR DPLX WHT -2,78.25,78 1/4,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
79,3371888.001,02/18/2020,12/31/1899,GVT15          ,W,R,R,G98  ,83.8125,83 13/16,27,81,81,68-6261-40     ,3.5 X 16  LINEN S CREAM -3,84,84,68-9581-40     ,3.5 X 16 CR LINEN CREAM -3,,,FALSO
2935,3467972.001,03/02/2020,12/31/1899,BVT15          ,B,L,S,G85  ,127.75,127 3/4,42,68.5,68 1/2,68-3973-40     ,3.5X16 FIBER WHITE -2,128,128,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
1446,3450407.005,02/28/2020,03/02/2020,SSVT15         ,B,R,R,G71  ,34.875,34 7/8,11,57.125,57 1/8,68-9583-40     ,3.5 X 16 CR LINEN CAFE -3,35,35,68-9583-40     ,3.5 X 16 CR LINEN CAFE -3,,,FALSO
1963,3456428.001,03/02/2020,03/02/2020,BVT15LVR       ,,,,G98  ,,,5,79.5,79 1/2,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,,,,,,,FALSO
1811,3454613.002,02/29/2020,12/31/1899,BVT15          ,W,L,L,G85  ,73.75,73 3/4,24,82,82,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",74,74,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",,,FALSO
428,3434243.001,02/26/2020,02/28/2020,BVT15          ,B,R,S,G85  ,111.75,111 3/4,36,60.5,60 1/2,68-6800-40     ,3.5X16 CR CHENILLE SYRAH -2,113.625,113 5/8,68-6800-40     ,3.5X16 CR CHENILLE SYRAH -2,,,FALSO
153,3417862.007,02/25/2020,02/27/2020,GVT15          ,B,R,R,G71  ,123.875,123 7/8,40,56.125,56 1/8,68-9303-40     ,3.5X16CR DPLX ALAB -2,124.125,124 1/8,68-9303-40     ,3.5X16CR DPLX ALAB -2,,,FALSO
2369,3460903.001,03/02/2020,12/31/1899,BVT15          ,B,R,S,G98  ,119.4375,119  7/16,40,54.5,54 1/2,68-6640-40     ,3.5X16 SAFARI S BUFFALO -4,120,120,68-3640-40     ,3.5X16 SAFARI BUFFALO -4,,,FALSO
1107,3445348.004,02/28/2020,03/02/2020,SSVT15         ,W,R,R,G98  ,75.1875,75  3/16,25,80.375,80 3/8,68-3330-41     ,3.5X82.5 LTHS S WHT -2,75.375,75 3/8,68-3980-40     ,3.5X16 CRWN LTHS WHITE -2,,,FALSO
1584,3452278.001,03/02/2020,12/31/1899,SSVT15         ,B,R,S,G85  ,83.75,83 3/4,28,56.5,56 1/2,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,,,,,FALSO
143,3416865.001,02/24/2020,02/26/2020,BVT15          ,B,R,R,G85  ,111.75,111 3/4,36,82.5,82 1/2,68-3973-40     ,3.5X16 FIBER WHITE -2,112,112,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
973,3443778.001,02/28/2020,03/02/2020,GVT15          ,W,L,L,G98  ,40.8125,40 13/16,14,63.5,63 1/2,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,41,41,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
