,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
551,3437196.001,02/26/2020,03/02/2020,BVT15          ,B,R,R,G98  ,86.4375,86  7/16,28,82.5,82 1/2,68-6693-40     ,"'3.5""X16''GRGTOWN-S TWNY -3'",87,87,68-6493-40     ,"'3.5""X16''CRWN GRGTOWN TWNY -3'",,,FALSO
1519,3451262.002,02/28/2020,12/31/1899,BVT15          ,B,R,S,G85  ,72.5,72 1/2,24,46.75,46 3/4,68-9306-40     ,3.5X16CR DPLX WHT -2,72.75,72 3/4,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
2014,3457029.001,02/29/2020,12/31/1899,BVT15          ,B,R,S,G85  ,72.5,72 1/2,24,47.5,47 1/2,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,72.75,72 3/4,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,,,FALSO
1699,3453481.001,02/29/2020,12/31/1899,BVT15          ,B,L,L,G85  ,57.75,57 3/4,19,58.5,58 1/2,68-3183-40     ,"'3.5"" X 16'' DAZZLE MARINE -2'",58,58,68-3183-40     ,"'3.5"" X 16'' DAZZLE MARINE -2'",,,FALSO
2055,3457626.001,02/29/2020,12/31/1899,SSVT15         ,W,L,L,G71  ,84.375,84 3/8,27,61.5,61 1/2,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,84.5,84 1/2,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,FALSO
558,3437260.004,02/26/2020,02/27/2020,BVT15          ,W,L,L,G85  ,46,46,15,73.25,73 1/4,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,46.25,46 1/4,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,FALSO
633,3438342.018,02/27/2020,02/28/2020,BVT15          ,W,L,L,G98  ,100.8125,100 13/16,33,92.5,92 1/2,68-3973-40     ,3.5X16 FIBER WHITE -2,101,101,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
3056,3470361.005,03/02/2020,12/31/1899,SSVT15         ,B,L,L,G71  ,71.625,71 5/8,23,77.375,77 3/8,68-9306-41     ,3.5X82.5CR DPLX WHT -2,71.75,71 3/4,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
8,2440802.003,02/18/2020,12/31/1899,GVT15          ,W,R,R,G85  ,47.5,47 1/2,16,70,70,68-3356-41     ,"3.45""X82.5"" CROWN WHITE -1",47.75,47 3/4,68-3356-40     ,3.45X16 CRWN/HAMLTN WHITE -1,,,FALSO
1171,3446032.001,02/28/2020,12/31/1899,BVT15          ,B,L,L,G85  ,59.5,59 1/2,19,75,75,68-9306-41     ,3.5X82.5CR DPLX WHT -2,59.75,59 3/4,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
839,3441665.004,02/27/2020,02/27/2020,SSVT15         ,B,L,L,G98  ,79.4375,79  7/16,26,82.5,82 1/2,68-9021-40     ,3.5X16 CR STOWE RESORT -2,80,80,68-9021-40     ,3.5X16 CR STOWE RESORT -2,,,FALSO
1900,3455441.001,02/29/2020,12/31/1899,BVT15          ,B,R,L,G98  ,88.6875,88 11/16,29,60.25,60 1/4,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,89.25,89 1/4,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
1051,3444701.001,02/27/2020,03/02/2020,BVT15          ,W,L,L,G85  ,94.5,94 1/2,31,45.25,45 1/4,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,94.75,94 3/4,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,,,FALSO
708,3439255.003,02/27/2020,02/27/2020,SSVT15         ,W,L,L,G71  ,76.625,76 5/8,25,79,79,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,76.75,76 3/4,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,,,FALSO
798,3441118.003,02/27/2020,03/02/2020,BVT15          ,B,L,S,G85  ,77.25,77 1/4,26,72.5,72 1/2,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,77.5,77 1/2,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,,,FALSO
2754,3465215.007,03/02/2020,12/31/1899,GVT15          ,B,R,R,G71  ,68.125,68 1/8,22,66.4375,66  7/16,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,,,,,,,FALSO
2971,3469110.012,03/02/2020,12/31/1899,BVT15          ,W,L,L,G98  ,94.0625,94  1/16,31,74.625,74 5/8,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,94.25,94 1/4,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,,,FALSO
2920,3467599.001,03/02/2020,12/31/1899,GVT15LVR       ,,, ,G71  ,,,15,68.5,68 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,,,,,FALSO
943,3443348.004,02/28/2020,12/31/1899,BVT15          ,B,L,L,G85  ,35.375,35 3/8,12,69,69,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,35.625,35 5/8,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,,,FALSO
104,3402758.002,02/22/2020,02/26/2020,BVT15          ,B,R,L,G98  ,70.4375,70  7/16,23,78,78,68-3973-40     ,3.5X16 FIBER WHITE -2,71,71,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
1911,3455597.004,03/02/2020,12/31/1899,SSVT15         ,B,R,S,G98  ,57.3125,57  5/16,20,53.375,53 3/8,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,58,58,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
1909,3455597.002,03/02/2020,12/31/1899,SSVT15         ,B,R,S,G98  ,49.3125,49  5/16,16,53.125,53 1/8,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,50,50,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
894,3442600.001,02/28/2020,02/28/2020,BVT15LVR       ,,, ,G85  ,,,8,92,92,68-3772-40     ,3.5X16 CR LKFRST CLPSO GLDNOK4,,,,,,,FALSO
2272,3459890.002,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,51.75,51 3/4,17,42,42,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,52,52,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
576,3437590.001,02/27/2020,12/31/1899,BVT15          ,B,R,S,G98  ,169.4375,169  7/16,56,78.5,78 1/2,68-3973-40     ,3.5X16 FIBER WHITE -2,170,170,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
2834,3466057.008,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,107.25,107 1/4,35,82,82,68-6691-40     ,"'3.5""X16''GRGTOWN-S WHITE -3'",107.5,107 1/2,68-6491-40     ,"'3.5""X16''CRWN GRGTOWN WHT -3'",,,FALSO
1590,3452312.003,02/28/2020,03/02/2020,GVT15          ,B,R,R,G71  ,16.25,16 1/4,5,56.25,56 1/4,68-3640-40     ,3.5X16 SAFARI BUFFALO -4,16.375,16 3/8,68-3640-40     ,3.5X16 SAFARI BUFFALO -4,,,FALSO
3025,3469778.001,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,77.5,77 1/2,25,82,82,68-3973-40     ,3.5X16 FIBER WHITE -2,77.75,77 3/4,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
1161,3445984.001,02/28/2020,12/31/1899,BVT15          ,B,R,R,G85  ,94.625,94 5/8,31,91.25,91 1/4,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,94.875,94 7/8,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,,,FALSO
1730,3454086.006,02/29/2020,12/31/1899,BVT15          ,W,R,R,G85  ,67.5,67 1/2,22,54,54,68-3418-40     ,3.5X16 CR BRUSSELS SPROUT -2,67.75,67 3/4,68-3418-40     ,3.5X16 CR BRUSSELS SPROUT -2,,,FALSO
711,3439428.002,02/27/2020,03/02/2020,BVT15          ,B,R,R,G85  ,101.75,101 3/4,33,46,46,68-3391-40     ,3.5X16 QTM S-SHP CREAM -3,102,102,68-6879-40     ,3.5X16 EMB QTM CREAM -3,,,FALSO
2813,3465594.003,03/02/2020,12/31/1899,GVT15LVR       , ,,,G71  ,,,50,96,96,68-9308-40     ,3.5X16CR DPLX TAN -3,,,,,,,FALSO
338,3430763.006,02/26/2020,02/27/2020,BVT15          ,B,R,R,G85  ,94.75,94 3/4,31,81.5,81 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,95,95,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
2619,3464023.001,03/02/2020,03/02/2020,BVT15          ,W,L,L,G85  ,76.75,76 3/4,25,82.5,82 1/2,68-6802-40     ,3.5X16 CR CHENIL CHANTARELLE-2,77,77,68-6802-40     ,3.5X16 CR CHENIL CHANTARELLE-2,,,FALSO
2221,3459428.002,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,103.75,103 3/4,34,80,80,68-9306-41     ,3.5X82.5CR DPLX WHT -2,104,104,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
871,3442039.001,02/27/2020,02/27/2020,GVT15          ,B,R,L,G71  ,46.125,46 1/8,15,43.25,43 1/4,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,46.25,46 1/4,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,,,FALSO
1224,3446645.001,02/28/2020,12/31/1899,BVT15          ,W,L,L,G98  ,21.5625,21  9/16,7,66.25,66 1/4,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,21.75,21 3/4,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,,,FALSO
48,3255547.001,03/02/2020,12/31/1899,SSVT15         ,W,R,R,G71  ,73.625,73 5/8,24,78.5,78 1/2,68-9587-40     ,3.5X16 CR LINEN GRANITE 4,73.75,73 3/4,68-9587-40     ,3.5X16 CR LINEN GRANITE 4,,,FALSO
1772,3454343.001,02/28/2020,03/02/2020,SSVT15         ,W,L,L,G71  ,93.625,93 5/8,30,90.5,90 1/2,68-6655-40     ,3.5X16 EMB CACHET SILVR DOLLR4,93.75,93 3/4,68-6655-40     ,3.5X16 EMB CACHET SILVR DOLLR4,,,FALSO
