,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
2254,3459725.001,03/02/2020,12/31/1899,BVT15          ,B,R,S,G98  ,127.4375,127  7/16,42,65.5,65 1/2,68-3395-40     ,3.5X16 QTM S-SHP MODEL -3,128,128,68-6881-40     ,3.5X16 EMB QTM MODEL -3,,,FALSO
51,3271986.001,02/28/2020,12/31/1899,BVT15          ,B,R,R,G98  ,28.4375,28  7/16,10,104.5,104 1/2,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,29,29,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
598,3437929.003,02/27/2020,02/28/2020,BVT15          ,W,L,L,G98  ,70.0625,70  1/16,23,33.875,33 7/8,68-9306-41     ,3.5X82.5CR DPLX WHT -2,70.25,70 1/4,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
764,3440733.005,02/27/2020,12/31/1899,GVT15          ,W,R,R,G85  ,57.125,57 1/8,19,68,68,68-3356-41     ,"3.45""X82.5"" CROWN WHITE -1",57.625,57 5/8,68-3356-40     ,3.45X16 CRWN/HAMLTN WHITE -1,,,FALSO
460,3435618.001,02/26/2020,12/31/1899,SSVT15         ,W,L,L,G71  ,51.5,51 1/2,17,58.875,58 7/8,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,51.625,51 5/8,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,,,FALSO
3046,3470219.014,03/02/2020,12/31/1899,SSVT15         ,B,R,R,G98  ,69.4375,69  7/16,23,45.375,45 3/8,68-9303-40     ,3.5X16CR DPLX ALAB -2,70,70,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,,,FALSO
2838,3466113.001,03/02/2020,12/31/1899,GVT15          ,B,R,S,G71  ,42.875,42 7/8,14,41,41,68-3973-40     ,3.5X16 FIBER WHITE -2,43,43,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
1644,3452969.001,02/28/2020,12/31/1899,BVT15          ,W,L,L,G85  ,41.75,41 3/4,14,36.5,36 1/2,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,42,42,68-9303-40     ,3.5X16CR DPLX ALAB -2,,,FALSO
1798,3454612.002,02/29/2020,12/31/1899,BVT15          ,B,L,L,G85  ,33.875,33 7/8,11,56.625,56 5/8,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,34.125,34 1/8,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,,,FALSO
82,3381122.002,02/19/2020,12/31/1899,SSVT15         ,B,R,R,G71  ,78.875,78 7/8,25,93.5,93 1/2,68-9581-40     ,3.5 X 16 CR LINEN CREAM -3,79,79,68-9581-40     ,3.5 X 16 CR LINEN CREAM -3,,,FALSO
98,3399051.008,02/21/2020,02/26/2020,BVT15          ,B,L,R,G85  ,109.75,109 3/4,35,82.25,82 1/4,68-3580-40     ,3.5X16 LTHS S SILKEN -2,110,110,68-3990-40     ,3.5X16 CRWN LTHS SILKEN -4,,,FALSO
1427,3450026.002,02/28/2020,12/31/1899,BVT15          ,W,L,L,G98  ,83.8125,83 13/16,27,81.5,81 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,84,84,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
2854,3466561.002,03/02/2020,12/31/1899,SSVT15         ,B,R,R,G71  ,79.375,79 3/8,26,81.5,81 1/2,68-6654-40     ,3.5X16 EMB.CACHET TAN -3,79.5,79 1/2,68-6654-40     ,3.5X16 EMB.CACHET TAN -3,,,FALSO
736,3440055.001,02/27/2020,02/28/2020,GVT15          ,B,R,S,G85  ,109.75,109 3/4,36,78.5,78 1/2,68-3648-40     ,3.5X16 SAFARI HEARTHSTONE 4,110,110,68-3648-40     ,3.5X16 SAFARI HEARTHSTONE 4,,,FALSO
224,3425842.002,02/25/2020,02/28/2020,GVT15          ,B,L,L,G71  ,35.625,35 5/8,23,97.875,97 7/8,68-3736-40     ,2X16 CROWN WHITE -1,,,,,,,FALSO
2886,3467366.002,03/02/2020,12/31/1899,GVT15          ,B,R,R,G71  ,61.375,61 3/8,20,79,79,68-9317-40     ,3.5X16CR DPLX CAROB -3,61.5,61 1/2,68-9317-40     ,3.5X16CR DPLX CAROB -3,,,FALSO
1565,3452070.001,02/28/2020,12/31/1899,BVT15          ,B,R,S,G98  ,107.6875,107 11/16,36,61.375,61 3/8,68-3897-40     ,3.5X16 CR WNDW WEAVES MILLET-2,108.25,108 1/4,68-3897-40     ,3.5X16 CR WNDW WEAVES MILLET-2,,,FALSO
