,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
526,3436588.002,02/27/2020,02/27/2020,GVT15          ,B,R,R,G85  ,105.125,105 1/8,34,91.5,91 1/2,68-6650-40     ,3.5X16 EMB. WHITE CACHET -2,106.5,106 1/2,68-6650-40     ,3.5X16 EMB. WHITE CACHET -2,,,FALSO
276,3428701.001,02/26/2020,02/28/2020,BVT15          ,B,R,R,G85  ,94.125,94 1/8,30,56.75,56 3/4,68-3973-40     ,3.5X16 FIBER WHITE -2,94.375,94 3/8,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
250,3427446.001,02/26/2020,02/27/2020,BVT15          ,W,L,L,G85  ,79.75,79 3/4,26,80,80,68-6587-40     ,"'3.5"" X 16'' GROTTO ALAB -2'",80,80,68-6587-40     ,"'3.5"" X 16'' GROTTO ALAB -2'",,,FALSO
2165,3458676.001,03/02/2020,12/31/1899,SSVT15         ,B,L,S,G98  ,106.4375,106  7/16,36,49.5,49 1/2,68-6700-40     ,"'3.5""X16''GRGTOWN-S SMITHSIAN-4'",107,107,68-6500-40     ,"'3.5""X16''CRWN GRGTOWN SMTHSAN-4'",,,FALSO
15,2440802.01,10/17/2019,12/31/1899,GVT15          ,W,R,R,G85  ,59.5,59 1/2,19,106,106,68-3356-40     ,3.45X16 CRWN/HAMLTN WHITE -1,59.75,59 3/4,68-3356-40     ,3.45X16 CRWN/HAMLTN WHITE -1,,,FALSO
589,3437880.001,02/27/2020,12/31/1899,BVT15          ,B,R,R,G85  ,66.125,66 1/8,21,80,80,68-6698-40     ,"'3.5""X16''GRGTOWN-S CPTOL HILL-2'",66.375,66 3/8,68-6498-40     ,"'3.5""X16''CRWN GRGTOWN CAPTLHL-2'",,,FALSO
448,3434969.005,02/27/2020,02/28/2020,BVT15          ,B,L,L,G85  ,72.5,72 1/2,24,35.25,35 1/4,68-6802-40     ,3.5X16 CR CHENIL CHANTARELLE-2,72.75,72 3/4,68-6802-40     ,3.5X16 CR CHENIL CHANTARELLE-2,,,FALSO
934,3443209.001,02/28/2020,02/28/2020,GVT15          ,B,L,L,G71  ,78.875,78 7/8,25,83.5,83 1/2,68-6654-40     ,3.5X16 EMB.CACHET TAN -3,155,155,68-6654-40     ,3.5X16 EMB.CACHET TAN -3,,,FALSO
2339,3460713.003,03/02/2020,03/02/2020,BVT15          ,B,L,L,G85  ,44.5,44 1/2,15,30.375,30 3/8,68-3330-41     ,3.5X82.5 LTHS S WHT -2,44.75,44 3/4,68-3980-40     ,3.5X16 CRWN LTHS WHITE -2,,,FALSO
1768,3454284.002,02/28/2020,12/31/1899,BVT15          ,B,L,S,G85  ,72.5,72 1/2,24,56,56,68-6801-40     ,3.5X16 CR CHENILLE ALUMINUM -2,72.75,72 3/4,68-6801-40     ,3.5X16 CR CHENILLE ALUMINUM -2,,,FALSO
1846,3455058.001,02/29/2020,12/31/1899,BVT15          ,B,L,S,G85  ,104.75,104 3/4,34,96.5,96 1/2,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",105,105,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",,,FALSO
1672,3453414.001,02/29/2020,12/31/1899,BVT15          ,B,R,L,G85  ,102.75,102 3/4,33,81.5,81 1/2,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",103,103,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",,,FALSO
105,3403378.001,02/25/2020,02/28/2020,BVT15          ,W,R,R,G98  ,104.8125,104 13/16,34,78.5,78 1/2,68-9684-40     ,3.5X16HOMESPUN II S CHOCO -3,105,105,68-9114-40     ,3.5X16HOMESPUN II CHOCO -3,,,FALSO
1557,3452043.001,02/29/2020,03/02/2020,BVT15          ,B,R,S,G85  ,153.75,153 3/4,50,81.5,81 1/2,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,154,154,68-9303-40     ,3.5X16CR DPLX ALAB -2,,,FALSO
2553,3463246.002,03/02/2020,03/02/2020,BVT15          ,B,R,R,G85  ,166,166,53,74,74,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,166.25,166 1/4,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,,,FALSO
57,3300260.007,02/12/2020,02/24/2020,GVT15          ,B,L,S,G85  ,106.25,106 1/4,36,92.5,92 1/2,68-9306-40     ,3.5X16CR DPLX WHT -2,106.5,106 1/2,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
1279,3447697.013,02/28/2020,12/31/1899,BVT15          ,W,R,R,G85  ,36.75,36 3/4,12,68.5,68 1/2,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",37,37,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
842,3441665.007,02/27/2020,02/27/2020,SSVT15         ,B,L,L,G98  ,69.6875,69 11/16,23,56.125,56 1/8,68-9021-40     ,3.5X16 CR STOWE RESORT -2,70.25,70 1/4,68-9021-40     ,3.5X16 CR STOWE RESORT -2,,,FALSO
1284,3447697.018,02/28/2020,12/31/1899,BVT15          ,B,L,L,G85  ,21.875,21 7/8,7,42,42,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",22.125,22 1/8,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
938,3443301.001,02/28/2020,02/28/2020,BVT15          ,B,R,R,G98  ,103.4375,103  7/16,34,58.5,58 1/2,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,104,104,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,,,FALSO
2795,3465426.004,03/02/2020,12/31/1899,GVT15          ,B,R,S,G71  ,94.25,94 1/4,30,52.25,52 1/4,68-9306-40     ,3.5X16CR DPLX WHT -2,94.375,94 3/8,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
146,3417585.001,02/25/2020,02/28/2020,BVT15          ,B,L,L,G85  ,154.75,154 3/4,50,97.5,97 1/2,68-3395-40     ,3.5X16 QTM S-SHP MODEL -3,155,155,68-6881-40     ,3.5X16 EMB QTM MODEL -3,,,FALSO
620,3438305.006,02/27/2020,02/28/2020,BVT15          ,B,R,S,G98  ,54.8125,54 13/16,18,48.75,48 3/4,68-3973-40     ,3.5X16 FIBER WHITE -2,55.375,55 3/8,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
1851,3455185.002,02/29/2020,12/31/1899,BVT15          ,B,R,S,G85  ,35.5,35 1/2,12,59.5,59 1/2,68-6691-40     ,"'3.5""X16''GRGTOWN-S WHITE -3'",35.75,35 3/4,68-6491-40     ,"'3.5""X16''CRWN GRGTOWN WHT -3'",,,FALSO
790,3441064.006,02/27/2020,03/02/2020,GVT15          ,B,L,L,G71  ,93.125,93 1/8,30,92.375,92 3/8,68-6267-40     ,3.5X16 LINEN S GRANITE 4,94.5,94 1/2,68-9587-40     ,3.5X16 CR LINEN GRANITE 4,,,FALSO
2722,3464918.034,03/02/2020,12/31/1899,GVT15          ,B,R,R,G71  ,69.375,69 3/8,22,65.9375,65 15/16,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,,,,,FALSO
710,3439268.003,02/27/2020,02/28/2020,BVT15          ,B,R,R,G85  ,59,59,19,75.125,75 1/8,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,59.25,59 1/4,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,,,FALSO
255,3427481.002,02/26/2020,02/28/2020,BVT15          ,B,R,S,G85  ,98.75,98 3/4,32,73.5,73 1/2,68-3415-40     ,3.5X16 BRUSSELS WILLOW -1,99,99,68-3415-40     ,3.5X16 BRUSSELS WILLOW -1,,,FALSO
2822,3465921.001,03/02/2020,03/02/2020,GVT15LVR       ,B,,S,G71  ,,,2,111,111,68-6660-40     ,3.5X16 EMB CACHET SHIMMER SAG4,,,,,,,FALSO
2886,3467366.002,03/02/2020,12/31/1899,GVT15          ,B,R,R,G71  ,61.375,61 3/8,20,79,79,68-9317-40     ,3.5X16CR DPLX CAROB -3,61.5,61 1/2,68-9317-40     ,3.5X16CR DPLX CAROB -3,,,FALSO
2196,3459198.001,03/02/2020,12/31/1899,BVT15          ,B,L,S,G85  ,97.75,97 3/4,32,70.5,70 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,98,98,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
1968,3456474.001,03/02/2020,12/31/1899,BVT15          ,B,L,S,G85  ,103.75,103 3/4,34,66.5,66 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,104,104,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
1067,3444962.012,03/02/2020,12/31/1899,GVT15          ,B,L,L,G85  ,68.125,68 1/8,22,56.125,56 1/8,68-9306-40     ,3.5X16CR DPLX WHT -2,68.375,68 3/8,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
2605,3463941.001,03/02/2020,12/31/1899,BVT15          ,W,L,L,G98  ,77.3125,77  5/16,25,78.5,78 1/2,68-3331-40     ,3.5X16 LTHS S MSTY WHT -2,77.5,77 1/2,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,,,FALSO
2643,3464298.002,03/02/2020,12/31/1899,GVT15          ,B,R,L,G85  ,62,62,20,55.5,55 1/2,68-9021-40     ,3.5X16 CR STOWE RESORT -2,62.25,62 1/4,68-9021-40     ,3.5X16 CR STOWE RESORT -2,,,FALSO
2792,3465426.001,03/02/2020,12/31/1899,GVT15          ,B,R,S,G71  ,94.25,94 1/4,30,52.125,52 1/8,68-9306-40     ,3.5X16CR DPLX WHT -2,94.375,94 3/8,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
1559,3452045.001,02/29/2020,12/31/1899,BVT15          ,B,L,L,G85  ,93.75,93 3/4,30,103.5,103 1/2,68-9308-40     ,3.5X16CR DPLX TAN -3,94,94,68-9308-40     ,3.5X16CR DPLX TAN -3,,,FALSO
307,3429310.001,02/26/2020,02/28/2020,BVT15          ,B,R,S,G85  ,102.5,102 1/2,34,40.5,40 1/2,68-3183-40     ,"'3.5"" X 16'' DAZZLE MARINE -2'",102.75,102 3/4,68-3183-40     ,"'3.5"" X 16'' DAZZLE MARINE -2'",,,FALSO
229,3426038.003,02/25/2020,02/28/2020,BVT15          ,B,R,S,G85  ,71.75,71 3/4,24,69.25,69 1/4,68-9300-40     ,3.5X16 CR CROWN CANDELABRA 4,72,72,68-9300-40     ,3.5X16 CR CROWN CANDELABRA 4,,,FALSO
1276,3447697.01,02/28/2020,12/31/1899,BVT15          ,W,R,R,G85  ,30.75,30 3/4,10,53.5,53 1/2,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",31,31,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
1775,3454480.001,02/29/2020,12/31/1899,BVT15          ,W,R,R,G85  ,77.75,77 3/4,25,82.5,82 1/2,68-3183-40     ,"'3.5"" X 16'' DAZZLE MARINE -2'",78,78,68-3183-40     ,"'3.5"" X 16'' DAZZLE MARINE -2'",,,FALSO
1830,3454817.001,02/29/2020,12/31/1899,BVT15          ,W,L,L,G85  ,81.75,81 3/4,26,84.5,84 1/2,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,82,82,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,,,FALSO
