WorkOrderNumber;DateCreated;DatePrinted;ProductNumber;ControlType;ControlPosition;StackPosition;HeadrailType;TrackWidthNumeric;TrackWidthFraction;LouverQty;FinalLouverLengthNumeric;FinalLouverLengthFraction;LouverComponentNumber;LouverComponentDesc;ValanceBaseWidthNumeric;ValanceBaseWidthFraction;ValanceInsert ComponentNumber;ValanceInsertComponentDesc
3463022.001;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;62.7500;62 3/4;20;79.0000;79;68-6951-40     ;3.5X16 PARALLELS SPICE -2;63.0000;63;68-6951-40     ;3.5X16 PARALLELS SPICE -2
3463031.001;03/02/2020;12/31/1899;BVT15          ;B;R;S;G85  ;104.2500;104 1/4;34;54.0000;54;68-6585-40     ;'3.5" X 16'' GROTTO WHITE -2';104.5000;104 1/2;68-6585-40     ;'3.5" X 16'' GROTTO WHITE -2'
3463053.001;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;34.5000;34 1/2;11;56.0000;56;68-3973-40     ;3.5X16 FIBER WHITE -2;34.7500;34 3/4;68-3973-40     ;3.5X16 FIBER WHITE -2
3463053.002;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;34.0000;34;11;56.0000;56;68-3973-40     ;3.5X16 FIBER WHITE -2;34.2500;34 1/4;68-3973-40     ;3.5X16 FIBER WHITE -2
3463080.001;03/02/2020;12/31/1899;BVT15          ;B;R;L;G85  ;69.7500;69 3/4;23;77.0000;77;68-3973-40     ;3.5X16 FIBER WHITE -2;70.0000;70;68-3973-40     ;3.5X16 FIBER WHITE -2
3463084.001;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;51.7500;51 3/4;17;68.5000;68 1/2;68-6585-40     ;'3.5" X 16'' GROTTO WHITE -2';52.0000;52;68-6585-40     ;'3.5" X 16'' GROTTO WHITE -2'
3463084.002;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;134.2500;134 1/4;43;68.5000;68 1/2;68-6585-40     ;'3.5" X 16'' GROTTO WHITE -2';134.5000;134 1/2;68-6585-40     ;'3.5" X 16'' GROTTO WHITE -2'
3463089.001;03/02/2020;12/31/1899;BVT15          ;B;L;R;G98  ;78.0625;78 1/16;26;78.1250;78 1/8;68-3091-40     ;3.5X16 CR FIBER ARMADA 4;80.2500;80 1/4;68-3091-40     ;3.5X16 CR FIBER ARMADA 4
3463090.001;03/02/2020;12/31/1899;BVT15          ;B;L;S;G85  ;127.7500;127 3/4;42;88.9375;88 15/16;02484-01       ;3.5 BRGHTN TUNDRA BULK;128.0000;128;02484-01       ;3.5 BRGHTN TUNDRA BULK
3463094.001;03/02/2020;03/02/2020;SMTMVT         ;W;R;R;;;;0;.;;68-3056-40     ;'3.5 X 16'' .024 CROWN WHITE -1';;;;
3463096.001;03/02/2020;12/31/1899;BVT15          ;W;R;R;G85  ;51.5000;51 1/2;17;47.7500;47 3/4;68-3974-40     ;3.5X16 FIBER MIDNIGHT -4;51.7500;51 3/4;68-3974-40     ;3.5X16 FIBER MIDNIGHT -4
3463096.002;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;71.2500;71 1/4;23;77.0000;77;68-3974-40     ;3.5X16 FIBER MIDNIGHT -4;71.5000;71 1/2;68-3974-40     ;3.5X16 FIBER MIDNIGHT -4
