,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
838,3441665.003,02/27/2020,02/27/2020,SSVT15         ,B,L,L,G98  ,69.9375,69 15/16,23,56.5,56 1/2,68-9021-40     ,3.5X16 CR STOWE RESORT -2,70.5,70 1/2,68-9021-40     ,3.5X16 CR STOWE RESORT -2,,,FALSO
998,3444130.001,02/28/2020,02/28/2020,BVT15          ,B,R,S,G85  ,112.75,112 3/4,38,51.25,51 1/4,68-3973-40     ,3.5X16 FIBER WHITE -2,113,113,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
3020,3469671.002,03/02/2020,12/31/1899,GVT15          ,B,L,R,G85  ,119.75,119 3/4,39,91.5,91 1/2,68-9303-40     ,3.5X16CR DPLX ALAB -2,120,120,68-9303-40     ,3.5X16CR DPLX ALAB -2,,,FALSO
95,3399051.005,02/21/2020,02/26/2020,BVT15          ,B,L,L,G85  ,99.75,99 3/4,32,82.25,82 1/4,68-3580-40     ,3.5X16 LTHS S SILKEN -2,100,100,68-3990-40     ,3.5X16 CRWN LTHS SILKEN -4,,,FALSO
872,3442039.002,02/27/2020,02/27/2020,GVT15          ,B,R,R,G71  ,69.75,69 3/4,22,74.75,74 3/4,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,69.875,69 7/8,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,,,FALSO
1208,3446482.002,02/28/2020,12/31/1899,BVT15          ,W,R,R,G98  ,68.8125,68 13/16,23,83,83,68-3972-40     ,3.5X16 FIBER BUTTERCREAM -2,69,69,68-3972-40     ,3.5X16 FIBER BUTTERCREAM -2,,,FALSO
2582,3463778.003,03/02/2020,12/31/1899,BVT15          ,B,L,L,G85  ,77.75,77 3/4,25,83,83,68-3416-40     ,3.5X16 CR BRUSSELS MASONARY -2,78,78,68-3416-40     ,3.5X16 CR BRUSSELS MASONARY -2,,,FALSO
1444,3450407.003,02/28/2020,03/02/2020,SSVT15         ,B,R,R,G71  ,34.875,34 7/8,11,57.25,57 1/4,68-9583-40     ,3.5 X 16 CR LINEN CAFE -3,35,35,68-9583-40     ,3.5 X 16 CR LINEN CAFE -3,,,FALSO
1467,3450499.002,02/28/2020,02/28/2020,BVT15          ,B,R,S,G98  ,152.4375,152  7/16,50,58.5,58 1/2,68-9011-40     ,3.5X16 STOWE COCOA -2,153,153,68-9011-40     ,3.5X16 STOWE COCOA -2,,,FALSO
2870,3466871.011,03/02/2020,12/31/1899,BVT15          ,B,R,R,G98  ,73.4375,73  7/16,24,94.5,94 1/2,68-3391-40     ,3.5X16 QTM S-SHP CREAM -3,74,74,68-6879-40     ,3.5X16 EMB QTM CREAM -3,,,FALSO
1330,3448146.004,02/28/2020,12/31/1899,GVT15          ,B,R,R,G98  ,88.9375,88 15/16,29,83.5,83 1/2,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,89.5,89 1/2,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,FALSO
1144,3445685.003,02/28/2020,03/02/2020,SSVT15         ,B,R,R,G98  ,71.1875,71  3/16,23,77,77,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,71.75,71 3/4,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,,,FALSO
2432,3461596.001,03/02/2020,12/31/1899,BVT15          ,B,L,R,G85  ,111.75,111 3/4,36,48.5,48 1/2,68-9307-40     ,3.5X16CR DPLX IVORY -3,112,112,68-9307-40     ,3.5X16CR DPLX IVORY -3,,,FALSO
1573,3452096.002,02/28/2020,12/31/1899,BVT15          ,W,R,R,G85  ,120.375,120 3/8,39,70,70,68-3395-40     ,3.5X16 QTM S-SHP MODEL -3,120.625,120 5/8,68-6881-40     ,3.5X16 EMB QTM MODEL -3,,,FALSO
1252,3447372.002,02/28/2020,02/28/2020,SSVT15LVR      ,,, ,G71  ,,,18,115.5,115 1/2,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,,,,,FALSO
962,3443421.001,02/27/2020,03/02/2020,BVT15          ,B,R,R,G98  ,94.1875,94  3/16,31,91.375,91 3/8,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,94.75,94 3/4,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
912,3442828.004,02/27/2020,02/27/2020,SSVT15         ,B,R,R,G71  ,34.75,34 3/4,11,43.5,43 1/2,68-3647-40     ,3.5X16 SAFARI QUARRY 4,34.875,34 7/8,68-3647-40     ,3.5X16 SAFARI QUARRY 4,,,FALSO
1231,3447006.001,02/28/2020,02/28/2020,GVT15          ,W,R,R,G71  ,73.25,73 1/4,24,47,47,68-6650-40     ,3.5X16 EMB. WHITE CACHET -2,73.375,73 3/8,68-6650-40     ,3.5X16 EMB. WHITE CACHET -2,,,FALSO
1805,3454612.009,02/29/2020,12/31/1899,BVT15          ,B,L,L,G85  ,33.875,33 7/8,11,56.375,56 3/8,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,34.125,34 1/8,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,,,FALSO
2905,3467379.005,03/02/2020,12/31/1899,SSVT15         ,B,L,S,G85  ,93,93,30,21.25,21 1/4,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,93.25,93 1/4,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,FALSO
2289,3460298.001,03/02/2020,12/31/1899,BVT15          ,B,L,S,G98  ,119.4375,119  7/16,40,67.5,67 1/2,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,120,120,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,,,FALSO
108,3405501.001,02/27/2020,02/27/2020,GVT15LVR       ,,, ,G71  ,,,5,82.5,82 1/2,68-3973-40     ,3.5X16 FIBER WHITE -2,,,,,,,FALSO
191,3422631.002,02/25/2020,02/27/2020,GVT15          ,B,R,S,G71  ,46.125,46 1/8,16,76.25,76 1/4,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,46.25,46 1/4,68-9303-40     ,3.5X16CR DPLX ALAB -2,,,FALSO
2957,3468476.004,03/02/2020,12/31/1899,SSVT15         ,W,L,L,G71  ,99.375,99 3/8,32,79.5,79 1/2,68-6657-40     ,3.5X16 EMB.CACHET IVORY -3,99.5,99 1/2,68-6657-40     ,3.5X16 EMB.CACHET IVORY -3,,,FALSO
2173,3458768.001,03/02/2020,12/31/1899,GVT15LVR       ,,, ,G71  ,,,28,78.5,78 1/2,68-6802-40     ,3.5X16 CR CHENIL CHANTARELLE-2,,,,,,,FALSO
2693,3464918.005,03/02/2020,12/31/1899,GVT15          ,B,R,S,G71  ,106.125,106 1/8,34,49.4375,49  7/16,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,,,,,FALSO
903,3442677.001,02/27/2020,12/31/1899,BVT15          ,W,R,R,G85  ,79.75,79 3/4,26,81.5,81 1/2,68-9021-40     ,3.5X16 CR STOWE RESORT -2,80,80,68-9021-40     ,3.5X16 CR STOWE RESORT -2,,,FALSO
1214,3446504.005,02/28/2020,03/02/2020,SSVT15         ,B,R,R,G71  ,74.125,74 1/8,24,82.5,82 1/2,68-3331-40     ,3.5X16 LTHS S MSTY WHT -2,74.25,74 1/4,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,,,FALSO
1190,3446215.003,02/28/2020,12/31/1899,BVT15          ,B,R,R,G98  ,40.4375,40  7/16,14,76,76,68-9683-40     ,3.5X16HOMESPUN II S BEACH -3,41,41,68-9113-40     ,3.5X16HOMESPUN II BEACH -3,,,FALSO
579,3437636.002,02/27/2020,02/28/2020,BVT15          ,B,R,S,G85  ,78.75,78 3/4,26,108.5,108 1/2,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,79,79,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
543,3436966.002,02/27/2020,02/27/2020,GVT15          ,B,R,S,G85  ,70,70,24,56.25,56 1/4,68-3647-40     ,3.5X16 SAFARI QUARRY 4,74,74,68-3647-40     ,3.5X16 SAFARI QUARRY 4,,,FALSO
1539,3451525.004,02/28/2020,12/31/1899,GVT15          ,B,R,S,G71  ,57.625,57 5/8,20,56.25,56 1/4,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,57.75,57 3/4,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,FALSO
2242,3459559.002,03/02/2020,12/31/1899,BVT15          ,W,R,R,G98  ,78.8125,78 13/16,26,94.5,94 1/2,68-3614-40     ,3.5X16 RAPTURE STEEL -2,79,79,68-3614-40     ,3.5X16 RAPTURE STEEL -2,,,FALSO
592,3437905.001,02/27/2020,02/28/2020,BVT15          ,B,R,R,G85  ,98.75,98 3/4,32,84,84,68-3973-40     ,3.5X16 FIBER WHITE -2,99,99,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
1504,3451141.001,02/28/2020,03/02/2020,GVT15          ,W,R,R,G71  ,71.875,71 7/8,23,79.5,79 1/2,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,72,72,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,,,FALSO
2252,3459698.002,03/02/2020,12/31/1899,BVT15          ,B,R,R,G98  ,86.4375,86  7/16,28,94.5,94 1/2,68-6698-40     ,"'3.5""X16''GRGTOWN-S CPTOL HILL-2'",87,87,68-6498-40     ,"'3.5""X16''CRWN GRGTOWN CAPTLHL-2'",,,FALSO
915,3442841.002,02/28/2020,02/28/2020,SSVT15         ,B,L,L,G71  ,82.5,82 1/2,27,59,59,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,82.625,82 5/8,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,,,FALSO
1443,3450407.002,02/28/2020,03/02/2020,SSVT15         ,B,R,R,G71  ,34.875,34 7/8,11,57.125,57 1/8,68-9583-40     ,3.5 X 16 CR LINEN CAFE -3,35,35,68-9583-40     ,3.5 X 16 CR LINEN CAFE -3,,,FALSO
837,3441665.002,02/27/2020,02/27/2020,SSVT15         ,B,L,L,G98  ,57.6875,57 11/16,19,41.75,41 3/4,68-9021-40     ,3.5X16 CR STOWE RESORT -2,58.25,58 1/4,68-9021-40     ,3.5X16 CR STOWE RESORT -2,,,FALSO
318,3429704.001,02/26/2020,02/28/2020,BVT15          ,B,R,R,G98  ,104.4375,104  7/16,34,95.5,95 1/2,68-9014-40     ,3.5X16 STOWE BONE -2,105,105,68-9014-40     ,3.5X16 STOWE BONE -2,,,FALSO
