,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
400,3432887.001,02/26/2020,02/28/2020,GVT15          ,B,L,S,G71  ,105.125,105 1/8,34,79.875,79 7/8,68-3303-40     ,3.5X16 CRWN ALAB -2,,,,,,,FALSO
1697,3453475.007,02/29/2020,03/02/2020,BVT15          ,W,L,L,G85  ,41.25,41 1/4,14,60.5,60 1/2,68-3184-40     ,"'3.5"" X 16'' DAZZLE ANGORA -2'",41.5,41 1/2,68-3184-40     ,"'3.5"" X 16'' DAZZLE ANGORA -2'",,,FALSO
2978,3469112.006,03/02/2020,12/31/1899,GVT15          ,B,R,S,G98  ,103.8125,103 13/16,34,67.75,67 3/4,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,,,,,FALSO
1182,3446168.002,02/28/2020,12/31/1899,BVT15          ,W,L,L,G98  ,84.8125,84 13/16,28,82.5,82 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,86.625,86 5/8,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
1868,3455189.003,02/29/2020,12/31/1899,BVT15          ,B,R,S,G85  ,72.75,72 3/4,24,56.5,56 1/2,68-9020-40     ,3.5X16 CR STOWE YEW  -2,73,73,68-9020-40     ,3.5X16 CR STOWE YEW  -2,,,FALSO
2385,3460967.001,03/02/2020,12/31/1899,BVT15          ,B,R,L,G85  ,105.5,105 1/2,34,49,49,68-6800-40     ,3.5X16 CR CHENILLE SYRAH -2,105.75,105 3/4,68-6800-40     ,3.5X16 CR CHENILLE SYRAH -2,,,FALSO
3,2075591.004,09/01/2019,12/31/1899,GVT15          ,B,R,R,G71  ,45.75,45 3/4,15,152.875,152 7/8,68-9306-40     ,3.5X16CR DPLX WHT -2,45.875,45 7/8,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
329,3430047.001,02/26/2020,02/28/2020,GVT15          ,B,L,L,G71  ,89.5,89 1/2,29,90.625,90 5/8,68-9306-40     ,3.5X16CR DPLX WHT -2,,,,,,,FALSO
740,3440331.001,02/27/2020,12/31/1899,GVT15          ,B,R,R,G71  ,39.5,39 1/2,13,64.75,64 3/4,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,,,,,FALSO
1556,3452042.001,02/29/2020,12/31/1899,BVT15          ,B,L,S,G85  ,94.5,94 1/2,32,45,45,68-6700-40     ,"'3.5""X16''GRGTOWN-S SMITHSIAN-4'",94.75,94 3/4,68-6500-40     ,"'3.5""X16''CRWN GRGTOWN SMTHSAN-4'",,,FALSO
273,3428685.001,02/26/2020,03/02/2020,BVT15          ,B,R,S,G98  ,37.9375,37 15/16,14,25,25,68-3397-40     ,3.5X16 QTM S-SHP SHIPWRECK 4,38.5,38 1/2,68-6875-40     ,3.5X16 EMB QUANTUM SHIPWRECK 4,,,FALSO
2365,3460892.002,03/02/2020,12/31/1899,BVT15          ,B,L,L,G85  ,97.75,97 3/4,32,80.5,80 1/2,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",98,98,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
2935,3467972.001,03/02/2020,12/31/1899,BVT15          ,B,L,S,G85  ,127.75,127 3/4,42,68.5,68 1/2,68-3973-40     ,3.5X16 FIBER WHITE -2,128,128,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
2337,3460713.001,03/02/2020,03/02/2020,BVT15          ,B,L,S,G85  ,119.75,119 3/4,40,79.5,79 1/2,68-3330-41     ,3.5X82.5 LTHS S WHT -2,120,120,68-3980-40     ,3.5X16 CRWN LTHS WHITE -2,,,FALSO
1889,3455356.001,03/02/2020,12/31/1899,GVT15          ,B,L,S,G71  ,73.375,73 3/8,24,64,64,68-6950-40     ,3.5X16 PARALLELS MESA -2,73.5,73 1/2,68-6950-40     ,3.5X16 PARALLELS MESA -2,,,FALSO
1797,3454612.001,02/29/2020,12/31/1899,BVT15          ,B,R,R,G85  ,77.75,77 3/4,25,96.5,96 1/2,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,78,78,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,,,FALSO
2194,3459182.001,03/02/2020,12/31/1899,BVT15          ,B,R,L,G85  ,83,83,27,47,47,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",83.25,83 1/4,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
