,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
1264,3447619.001,02/28/2020,02/28/2020,GVT15          ,B,R,R,G71  ,81.875,81 7/8,26,80.5,80 1/2,68-9014-40     ,3.5X16 STOWE BONE -2,82,82,68-9014-40     ,3.5X16 STOWE BONE -2,,,FALSO
1213,3446504.004,02/28/2020,03/02/2020,SSVT15         ,B,R,R,G71  ,31.875,31 7/8,10,97.625,97 5/8,68-3331-40     ,3.5X16 LTHS S MSTY WHT -2,32,32,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,,,FALSO
1035,3444517.005,02/27/2020,02/27/2020,SSVT15         ,W,R,R,G98  ,104.9375,104 15/16,34,92.375,92 3/8,68-9303-40     ,3.5X16CR DPLX ALAB -2,105.125,105 1/8,68-9303-40     ,3.5X16CR DPLX ALAB -2,,,FALSO
1040,3444587.001,02/28/2020,12/31/1899,BVT15          ,W,L,L,G98  ,56.8125,56 13/16,19,46.5,46 1/2,68-3771-40     ,3.5X16 CR LKFRST CLPSO COGNAC4,57,57,68-3771-40     ,3.5X16 CR LKFRST CLPSO COGNAC4,,,FALSO
1762,3454258.004,02/28/2020,12/31/1899,GVT15          ,B,R,S,G71  ,70.625,70 5/8,24,34.75,34 3/4,68-6260-40     ,3.5 X 16  LINEN S SNOW -2,70.75,70 3/4,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,,,FALSO
2219,3459425.001,03/02/2020,12/31/1899,BVT15          ,W,L,L,G98  ,77.8125,77 13/16,26,80.875,80 7/8,68-3791-40     ,"'3.5"" X 16'' TAPESTRY WICKER -3'",78,78,68-3791-40     ,"'3.5"" X 16'' TAPESTRY WICKER -3'",,,FALSO
65,3303515.001,02/28/2020,02/28/2020,GVT15          ,B,L,S,G71  ,134.875,134 7/8,44,84.938,,68-9307-40     ,3.5X16CR DPLX IVORY -3,,,,,,,FALSO
2033,3457116.001,03/02/2020,12/31/1899,BVT15          ,B,R,L,G85  ,87.625,87 5/8,28,94.5,94 1/2,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,87.875,87 7/8,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,,,FALSO
2354,3460846.001,03/02/2020,12/31/1899,BVT15          ,B,L,S,G98  ,68.4375,68  7/16,22,71.5,71 1/2,68-3773-40     ,3.5X16 CR LKFRST CLPSO NATURL4,69,69,68-3773-40     ,3.5X16 CR LKFRST CLPSO NATURL4,,,FALSO
773,3440733.014,02/27/2020,12/31/1899,GVT15          ,W,R,R,G85  ,69.5,69 1/2,23,68,68,68-3356-41     ,"3.45""X82.5"" CROWN WHITE -1",70,70,68-3356-41     ,"3.45""X82.5"" CROWN WHITE -1",,,FALSO
