,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
2202,3459260.001,03/02/2020,12/31/1899,BVT15          ,B,R,R,G85  ,140.5,140 1/2,45,91,91,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",140.75,140 3/4,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
1311,3448063.005,02/28/2020,02/28/2020,SSVT15         ,W,L,L,G98  ,34.4375,34  7/16,12,44.625,44 5/8,68-3640-40     ,3.5X16 SAFARI BUFFALO -4,34.625,34 5/8,68-3640-40     ,3.5X16 SAFARI BUFFALO -4,,,FALSO
86,3387059.001,02/28/2020,03/02/2020,SSVT15         ,B,L,L,G71  ,71.25,71 1/4,23,94,94,68-6657-40     ,3.5X16 EMB.CACHET IVORY -3,71.375,71 3/8,68-6657-40     ,3.5X16 EMB.CACHET IVORY -3,,,FALSO
580,3437636.003,02/27/2020,02/28/2020,BVT15          ,B,R,R,G85  ,23.75,23 3/4,8,108.5,108 1/2,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,24,24,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
2186,3459111.001,03/02/2020,12/31/1899,BVT15          ,W,R,R,G98  ,61.8125,61 13/16,20,50.5,50 1/2,68-3972-40     ,3.5X16 FIBER BUTTERCREAM -2,62,62,68-3972-40     ,3.5X16 FIBER BUTTERCREAM -2,,,FALSO
1022,3444503.007,02/27/2020,12/31/1899,GVT15          ,W,R,R,G98  ,52.1875,52  3/16,17,67.375,67 3/8,68-6260-40     ,3.5 X 16  LINEN S SNOW -2,52.375,52 3/8,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,,,FALSO
2523,3463031.001,03/02/2020,12/31/1899,BVT15          ,B,R,S,G85  ,104.25,104 1/4,34,54,54,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",104.5,104 1/2,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
2927,3467795.002,03/02/2020,12/31/1899,GVT15LVR       , ,,,G85  ,,,3,76,76,68-9307-41     ,3.5X82.5CR DPLX IVORY -3,,,,,,,FALSO
2288,3460290.001,03/02/2020,12/31/1899,BVT15          ,B,R,L,G98  ,69.1875,69  3/16,23,69.875,69 7/8,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,69.75,69 3/4,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,,,FALSO
745,3440428.001,02/27/2020,02/28/2020,BVT15          ,B,L,S,G85  ,98.25,98 1/4,32,56.375,56 3/8,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,98.5,98 1/2,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,,,FALSO
2678,3464626.002,03/02/2020,12/31/1899,BVT15          ,B,R,L,G85  ,51.5,51 1/2,17,35,35,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",51.75,51 3/4,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
2867,3466811.005,03/02/2020,12/31/1899,BVT15          ,W,R,R,G85  ,99.75,99 3/4,32,81,81,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,100,100,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,,,FALSO
1974,3456503.004,03/02/2020,12/31/1899,BVT15          ,B,R,R,G98  ,128.9375,128 15/16,42,61.875,61 7/8,68-9307-40     ,3.5X16CR DPLX IVORY -3,129.5,129 1/2,68-9307-40     ,3.5X16CR DPLX IVORY -3,,,FALSO
175,3421166.007,02/25/2020,02/28/2020,BVT15          ,B,R,S,G98  ,69.4375,69  7/16,24,68.125,68 1/8,68-6693-40     ,"'3.5""X16''GRGTOWN-S TWNY -3'",70,70,68-6493-40     ,"'3.5""X16''CRWN GRGTOWN TWNY -3'",,,FALSO
1626,3452817.001,02/29/2020,12/31/1899,BVT15          ,W,L,L,G85  ,57,57,19,42.625,42 5/8,68-6693-40     ,"'3.5""X16''GRGTOWN-S TWNY -3'",57.25,57 1/4,68-6493-40     ,"'3.5""X16''CRWN GRGTOWN TWNY -3'",,,FALSO
2279,3460164.001,03/02/2020,12/31/1899,SSVT15         ,W,L,L,G98  ,76.8125,76 13/16,25,80.5,80 1/2,68-9646-40     ,3.5X16 RCHMND DPLX WHT -2,77,77,68-9646-40     ,3.5X16 RCHMND DPLX WHT -2,,,FALSO
1590,3452312.003,02/28/2020,03/02/2020,GVT15          ,B,R,R,G71  ,16.25,16 1/4,5,56.25,56 1/4,68-3640-40     ,3.5X16 SAFARI BUFFALO -4,16.375,16 3/8,68-3640-40     ,3.5X16 SAFARI BUFFALO -4,,,FALSO
1464,3450483.003,02/28/2020,12/31/1899,BVT15LVR       ,,,,G85  ,,,1,53,53,68-9020-40     ,3.5X16 CR STOWE YEW  -2,,,,,,,FALSO
210,3423892.004,02/26/2020,02/27/2020,BVT15          ,B,L,R,G85  ,84.75,84 3/4,27,84.5,84 1/2,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",85,85,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",,,FALSO
1057,3444838.009,02/27/2020,02/28/2020,BVT15          ,B,L,L,G98  ,81.4375,81  7/16,27,80.5,80 1/2,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,82,82,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
1547,3451951.001,03/02/2020,12/31/1899,GVT15          ,B,R,R,G71  ,77.875,77 7/8,25,82.5,82 1/2,68-3252-40     ,"'3.5""X16'' CR KNSINGTON PSSPRT-3'",78,78,68-3252-40     ,"'3.5""X16'' CR KNSINGTON PSSPRT-3'",,,FALSO
1023,3444503.008,02/27/2020,12/31/1899,GVT15          ,W,R,R,G98  ,52.4375,52  7/16,17,67.375,67 3/8,68-6260-40     ,3.5 X 16  LINEN S SNOW -2,52.625,52 5/8,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,,,FALSO
380,3432038.005,02/26/2020,12/31/1899,BVT15          ,W,L,L,G98  ,60.6875,60 11/16,20,77.25,77 1/4,68-9307-41     ,3.5X82.5CR DPLX IVORY -3,60.875,60 7/8,68-9307-40     ,3.5X16CR DPLX IVORY -3,,,FALSO
237,3426109.005,02/25/2020,02/28/2020,BVT15          ,B,L,L,G98  ,117.9375,117 15/16,38,84.375,84 3/8,68-3773-40     ,3.5X16 CR LKFRST CLPSO NATURL4,118.5,118 1/2,68-3773-40     ,3.5X16 CR LKFRST CLPSO NATURL4,,,FALSO
1151,3445884.002,02/28/2020,12/31/1899,BVT15          ,W,R,R,G85  ,46.75,46 3/4,15,45.5,45 1/2,68-6693-40     ,"'3.5""X16''GRGTOWN-S TWNY -3'",47,47,68-6493-40     ,"'3.5""X16''CRWN GRGTOWN TWNY -3'",,,FALSO
1212,3446504.003,02/28/2020,03/02/2020,SSVT15         ,B,R,R,G71  ,163.375,163 3/8,52,82.5,82 1/2,68-3331-40     ,3.5X16 LTHS S MSTY WHT -2,163.5,163 1/2,68-3981-40     ,3.5X16 CRWN LTHS MISTY WHT -3,,,FALSO
2090,3457803.002,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,44.75,44 3/4,15,43.5,43 1/2,68-9306-40     ,3.5X16CR DPLX WHT -2,45,45,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
2708,3464918.02,03/02/2020,12/31/1899,GVT15          ,B,L,L,G71  ,59.125,59 1/8,19,42.9375,42 15/16,68-9308-40     ,3.5X16CR DPLX TAN -3,,,,,,,FALSO
1242,3447148.002,02/28/2020,12/31/1899,GVT15          ,B,R,R,G85  ,129.75,129 3/4,42,100.5,100 1/2,68-9306-40     ,3.5X16CR DPLX WHT -2,130,130,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
2499,3462437.001,03/02/2020,12/31/1899,BVT15          ,B,R,R,G85  ,99.75,99 3/4,32,58.5,58 1/2,68-3974-40     ,3.5X16 FIBER MIDNIGHT -4,100,100,68-3974-40     ,3.5X16 FIBER MIDNIGHT -4,,,FALSO
1520,3451266.001,02/29/2020,12/31/1899,BVT15LVR       ,,,,G98  ,,,8,64,64,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,,,,,FALSO
53,3271986.003,02/28/2020,12/31/1899,BVT15          ,B,L,L,G98  ,28.4375,28  7/16,10,88.5,88 1/2,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,29,29,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
2890,3467366.006,03/02/2020,12/31/1899,GVT15          ,B,R,R,G71  ,94.375,94 3/8,30,92,92,68-9317-40     ,3.5X16CR DPLX CAROB -3,94.5,94 1/2,68-9317-40     ,3.5X16CR DPLX CAROB -3,,,FALSO
419,3434140.001,02/27/2020,02/27/2020,BVT15          ,B,R,S,G98  ,109.9375,109 15/16,36,47.75,47 3/4,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",110.5,110 1/2,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",,,FALSO
535,3436860.002,02/27/2020,02/27/2020,GVT15          ,B,R,R,G71  ,73.875,73 7/8,24,83,83,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,74,74,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
1623,3452791.002,02/29/2020,03/02/2020,BVT15          ,B,R,L,G85  ,107.75,107 3/4,35,82.5,82 1/2,68-6697-40     ,"'3.5""X16''GRGTOWN-S FLAX -3'",108,108,68-6497-40     ,"'3.5""X16''CRWN GRGTOWN FLAX -3'",,,FALSO
1328,3448146.002,02/28/2020,12/31/1899,GVT15          ,B,R,R,G98  ,37.9375,37 15/16,13,84.5,84 1/2,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,38.5,38 1/2,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,FALSO
107,3404436.002,03/02/2020,12/31/1899,GVT15          ,B,R,S,G71  ,50.75,50 3/4,18,49.25,49 1/4,68-3973-40     ,3.5X16 FIBER WHITE -2,50.875,50 7/8,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
569,3437535.001,02/27/2020,02/27/2020,BVT15          ,B,L,S,G85  ,144.75,144 3/4,48,78.5,78 1/2,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,146.625,146 5/8,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,,,FALSO
298,3429011.001,02/26/2020,02/28/2020,BVT15          ,B,L,L,G85  ,103.75,103 3/4,34,98,98,68-3391-40     ,3.5X16 QTM S-SHP CREAM -3,104,104,68-6879-40     ,3.5X16 EMB QTM CREAM -3,,,FALSO
612,3438207.001,02/27/2020,02/28/2020,BVT15          ,B,R,S,G85  ,59.75,59 3/4,20,63.5,63 1/2,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",60,60,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
688,3438907.008,03/02/2020,12/31/1899,GVT15          ,B,L,L,G98  ,70.4375,70  7/16,23,80,80,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,71,71,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,,,FALSO
470,3435700.001,02/27/2020,02/28/2020,BVT15          ,W,R,R,G85  ,66.75,66 3/4,22,55.5,55 1/2,68-6697-40     ,"'3.5""X16''GRGTOWN-S FLAX -3'",67,67,68-6497-40     ,"'3.5""X16''CRWN GRGTOWN FLAX -3'",,,FALSO
1135,3445514.002,02/28/2020,02/28/2020,BVT15          ,B,L,L,G98  ,70.4375,70  7/16,23,80.75,80 3/4,68-9011-40     ,3.5X16 STOWE COCOA -2,71,71,68-9011-40     ,3.5X16 STOWE COCOA -2,,,FALSO
1856,3455185.007,02/29/2020,12/31/1899,BVT15          ,B,L,S,G85  ,77.75,77 3/4,26,63.5,63 1/2,68-6691-40     ,"'3.5""X16''GRGTOWN-S WHITE -3'",78,78,68-6491-40     ,"'3.5""X16''CRWN GRGTOWN WHT -3'",,,FALSO
2266,3459814.008,03/02/2020,12/31/1899,SSVT15         ,B,L,L,G71  ,70.375,70 3/8,23,79.375,79 3/8,68-9306-41     ,3.5X82.5CR DPLX WHT -2,70.5,70 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
1800,3454612.004,02/29/2020,12/31/1899,BVT15          ,B,L,L,G85  ,22,22,7,44.5,44 1/2,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,22.25,22 1/4,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,,,FALSO
