,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
1132,3445513.002,02/28/2020,12/31/1899,BVT15          ,B,R,S,G98  ,57.5625,57  9/16,20,31.75,31 3/4,68-3397-40     ,3.5X16 QTM S-SHP SHIPWRECK 4,58.125,58 1/8,68-6875-40     ,3.5X16 EMB QUANTUM SHIPWRECK 4,,,FALSO
937,3443286.001,02/27/2020,03/02/2020,BVT15          ,W,L,L,G85  ,66.75,66 3/4,22,82.5,82 1/2,68-9300-40     ,3.5X16 CR CROWN CANDELABRA 4,67,67,68-9300-40     ,3.5X16 CR CROWN CANDELABRA 4,,,FALSO
1964,3456436.001,03/02/2020,12/31/1899,BVT15LVR       ,,, ,G85  ,,,1,44.5,44 1/2,68-3131-40     ,3.5X16 CR ACOPOLIS POSEIDON -2,,,,,,,FALSO
595,3437912.001,02/27/2020,12/31/1899,BVT15          ,B,L,L,G98  ,90.6875,90 11/16,30,85,85,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,91.25,91 1/4,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,,,FALSO
482,3435977.002,02/26/2020,02/28/2020,BVT15LVR       ,,,,G98  ,,,150,77.375,77 3/8,68-3415-40     ,3.5X16 BRUSSELS WILLOW -1,,,,,,,FALSO
599,3437994.001,02/27/2020,02/28/2020,BVT15          ,W,L,L,G85  ,95.75,95 3/4,31,82.5,82 1/2,68-6952-40     ,3.5X16 PARALLELS AMARETTO -2,96,96,68-6952-40     ,3.5X16 PARALLELS AMARETTO -2,,,FALSO
2777,3465312.022,03/02/2020,12/31/1899,GVT15          ,B,R,R,G71  ,62.125,62 1/8,20,76.4375,76  7/16,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,,,,,FALSO
528,3436830.001,02/27/2020,12/31/1899,GVT15          ,B,R,S,G71  ,121.875,121 7/8,40,72.5,72 1/2,68-6952-40     ,3.5X16 PARALLELS AMARETTO -2,122,122,68-6952-40     ,3.5X16 PARALLELS AMARETTO -2,,,FALSO
1675,3453414.004,02/29/2020,12/31/1899,BVT15          ,B,L,R,G85  ,83.75,83 3/4,27,81.5,81 1/2,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",84,84,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",,,FALSO
2626,3464109.003,03/02/2020,12/31/1899,BVT15LVR       ,,,L,G98  ,,,16,95.125,95 1/8,68-6691-40     ,"'3.5""X16''GRGTOWN-S WHITE -3'",,,,,,,FALSO
