,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
1580,3452141.001,02/28/2020,03/02/2020,BVT15          ,B,R,S,G98  ,66.4375,66  7/16,22,46.5,46 1/2,68-9303-40     ,3.5X16CR DPLX ALAB -2,67,67,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,,,FALSO
717,3439718.003,02/28/2020,03/02/2020,GVT15          ,B,R,R,G71  ,22.375,22 3/8,7,68.5,68 1/2,68-9682-40     ,3.5X16HOMESPUN II S BTRSCTH -3,,,,,,,FALSO
2728,3464918.04,03/02/2020,12/31/1899,GVT15          ,B,R,S,G71  ,143.125,143 1/8,46,57.4375,57  7/16,68-9308-40     ,3.5X16CR DPLX TAN -3,,,,,,,FALSO
765,3440733.006,02/27/2020,12/31/1899,GVT15          ,W,R,R,G85  ,57.25,57 1/4,19,68,68,68-3356-41     ,"3.45""X82.5"" CROWN WHITE -1",57.75,57 3/4,68-3356-40     ,3.45X16 CRWN/HAMLTN WHITE -1,,,FALSO
2827,3466012.003,03/02/2020,12/31/1899,GVT15          ,B,L,L,G71  ,59.125,59 1/8,19,45.25,45 1/4,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",61.5,61 1/2,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
1919,3455643.005,02/29/2020,03/02/2020,BVT15          ,B,L,S,G85  ,92.375,92 3/8,30,67.875,67 7/8,68-6584-40     ,3.5X16 CR GROTTO STORMCLOUD 4,92.625,92 5/8,68-6584-40     ,3.5X16 CR GROTTO STORMCLOUD 4,,,FALSO
2625,3464062.002,03/02/2020,12/31/1899,BVT15          ,B,L,R,G85  ,89.75,89 3/4,29,82.5,82 1/2,68-6693-40     ,"'3.5""X16''GRGTOWN-S TWNY -3'",90,90,68-6493-40     ,"'3.5""X16''CRWN GRGTOWN TWNY -3'",,,FALSO
250,3427446.001,02/26/2020,02/27/2020,BVT15          ,W,L,L,G85  ,79.75,79 3/4,26,80,80,68-6587-40     ,"'3.5"" X 16'' GROTTO ALAB -2'",80,80,68-6587-40     ,"'3.5"" X 16'' GROTTO ALAB -2'",,,FALSO
3037,3470042.002,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,47.75,47 3/4,16,44.5,44 1/2,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,48,48,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,,,FALSO
2191,3459116.001,03/02/2020,12/31/1899,BVT15          ,W,R,R,G85  ,77.75,77 3/4,25,82.5,82 1/2,68-3977-40     ,3.5X16 FIBER BLOODROOT -4,78,78,68-3977-40     ,3.5X16 FIBER BLOODROOT -4,,,FALSO
326,3429895.001,02/26/2020,02/28/2020,BVT15          ,B,R,L,G85  ,35.75,35 3/4,12,32.5,32 1/2,68-3186-40     ,3.5X16 CR DAZL WEATHERD FENC-2,36,36,68-3186-40     ,3.5X16 CR DAZL WEATHERD FENC-2,,,FALSO
1505,3451186.001,02/28/2020,12/31/1899,BVT15          ,B,L,S,G98  ,104.4375,104  7/16,34,47.25,47 1/4,68-9020-40     ,3.5X16 CR STOWE YEW  -2,105,105,68-9020-40     ,3.5X16 CR STOWE YEW  -2,,,FALSO
2109,3457965.002,02/29/2020,12/31/1899,BVT15          ,B,R,R,G85  ,103.75,103 3/4,34,82.5,82 1/2,68-3330-41     ,3.5X82.5 LTHS S WHT -2,104,104,68-3980-40     ,3.5X16 CRWN LTHS WHITE -2,,,FALSO
1720,3454000.001,03/02/2020,12/31/1899,SSVT15         ,B,L,L,G98  ,73.4375,73  7/16,24,81,81,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,74,74,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,,,FALSO
1632,3452926.003,02/29/2020,12/31/1899,BVT15          ,W,L,L,G98  ,70.0625,70  1/16,23,32.875,32 7/8,68-3970-40     ,3.5X16 FIBER SANDSTONE -2,70.25,70 1/4,68-3970-40     ,3.5X16 FIBER SANDSTONE -2,,,FALSO
212,3424553.002,02/26/2020,02/28/2020,BVT15          ,B,R,L,G85  ,102.75,102 3/4,33,101.5,101 1/2,68-6691-40     ,"'3.5""X16''GRGTOWN-S WHITE -3'",103,103,68-6491-40     ,"'3.5""X16''CRWN GRGTOWN WHT -3'",,,FALSO
2645,3464298.004,03/02/2020,12/31/1899,GVT15          ,B,L,R,G85  ,62.125,62 1/8,20,55.5,55 1/2,68-9021-40     ,3.5X16 CR STOWE RESORT -2,62.375,62 3/8,68-9021-40     ,3.5X16 CR STOWE RESORT -2,,,FALSO
2088,3457796.001,03/02/2020,12/31/1899,BVT15          ,B,R,R,G85  ,111.75,111 3/4,36,82.5,82 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,112,112,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
2856,3466689.001,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,85.25,85 1/4,28,78.125,78 1/8,68-9306-41     ,3.5X82.5CR DPLX WHT -2,85.5,85 1/2,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
1774,3454479.001,02/29/2020,12/31/1899,BVT15          ,B,L,S,G98  ,74.4375,74  7/16,24,59.5,59 1/2,68-3610-40     ,3.5X16 RAPTURE HEATHER -2,75,75,68-3610-40     ,3.5X16 RAPTURE HEATHER -2,,,FALSO
1659,3453233.004,02/28/2020,12/31/1899,GVT15          ,W,R,R,G98  ,38.8125,38 13/16,13,60.5,60 1/2,68-9311-40     ,3.5X16CR DPLX MSTY WHT -3,39,39,68-9311-40     ,3.5X16CR DPLX MSTY WHT -3,,,FALSO
1846,3455058.001,02/29/2020,12/31/1899,BVT15          ,B,L,S,G85  ,104.75,104 3/4,34,96.5,96 1/2,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",105,105,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",,,FALSO
1453,3450464.002,02/28/2020,12/31/1899,BVT15          ,W,R,R,G85  ,43.5,43 1/2,14,66,66,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,43.75,43 3/4,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,,,FALSO
