,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
1162,3445984.002,02/28/2020,12/31/1899,BVT15          ,B,R,R,G85  ,58.5,58 1/2,19,91.5,91 1/2,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,58.75,58 3/4,68-3612-40     ,3.5X16 RAPTURE BLEACH -2,,,FALSO
137,3411244.01,02/24/2020,12/31/1899,GVT15          ,W,R,R,G98  ,85.9375,85 15/16,28,56.125,56 1/8,68-3356-40     ,3.45X16 CRWN/HAMLTN WHITE -1,86.375,86 3/8,68-3356-40     ,3.45X16 CRWN/HAMLTN WHITE -1,,,FALSO
857,3441776.005,02/27/2020,12/31/1899,BVT15          ,B,R,S,G98  ,104.9375,104 15/16,34,75.25,75 1/4,68-3973-40     ,3.5X16 FIBER WHITE -2,105.5,105 1/2,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
969,3443691.009,02/27/2020,02/28/2020,BVT15          ,W,L,L,G85  ,66.75,66 3/4,22,47.5,47 1/2,68-6796-40     ,3.5X16 CHENILLE BROWN -4,67,67,68-6796-40     ,3.5X16 CHENILLE BROWN -4,,,FALSO
162,3418783.006,02/24/2020,02/28/2020,GVT15          ,B,L,L,G98  ,56.6875,56 11/16,19,54.75,54 3/4,68-3447-40     ,3.5X16 CR LTSCRN IVRY 40PRF -3,,,,,,,FALSO
697,3439075.002,02/27/2020,02/28/2020,BVT15          ,B,L,S,G98  ,146.9375,146 15/16,48,81.75,81 3/4,68-3091-40     ,3.5X16 CR FIBER ARMADA 4,147.5,147 1/2,68-3091-40     ,3.5X16 CR FIBER ARMADA 4,,,FALSO
124,3409928.001,02/24/2020,12/31/1899,BVT15LVR       ,,,L,G98  ,,,10,84,84,68-6691-40     ,"'3.5""X16''GRGTOWN-S WHITE -3'",,,,,,,FALSO
542,3436966.001,02/27/2020,02/27/2020,GVT15          ,B,L,S,G85  ,70.5,70 1/2,24,56.25,56 1/4,68-3647-40     ,3.5X16 SAFARI QUARRY 4,74,74,68-3647-40     ,3.5X16 SAFARI QUARRY 4,,,FALSO
1874,3455198.003,02/29/2020,12/31/1899,BVT15          ,B,L,L,G98  ,33.9375,33 15/16,11,62.125,62 1/8,68-3395-40     ,3.5X16 QTM S-SHP MODEL -3,34.5,34 1/2,68-6881-40     ,3.5X16 EMB QTM MODEL -3,,,FALSO
2915,3467472.006,03/02/2020,12/31/1899,BVT15          ,W,R,R,G85  ,69.375,69 3/8,23,76.375,76 3/8,68-9014-40     ,3.5X16 STOWE BONE -2,69.625,69 5/8,68-9014-40     ,3.5X16 STOWE BONE -2,,,FALSO
2043,3457403.02,02/29/2020,03/02/2020,SSVT15         ,B,L,L,G98  ,80.9375,80 15/16,26,83.5,83 1/2,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,81.5,81 1/2,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,,,FALSO
1491,3450840.001,02/28/2020,03/02/2020,GVT15LVR       ,,,,G71  ,,,4,79.625,79 5/8,68-9307-41     ,3.5X82.5CR DPLX IVORY -3,,,,,,,FALSO
1259,3447497.001,02/28/2020,02/28/2020,GVT15LVR       ,B,,R,G98  ,,,2,82.5,82 1/2,68-6660-40     ,3.5X16 EMB CACHET SHIMMER SAG4,,,,,,,FALSO
1111,3445390.002,02/28/2020,02/28/2020,BVT15          ,B,R,S,G85  ,76.5,76 1/2,26,61,61,68-6640-40     ,3.5X16 SAFARI S BUFFALO -4,76.75,76 3/4,68-3640-40     ,3.5X16 SAFARI BUFFALO -4,,,FALSO
363,3432000.001,02/26/2020,03/02/2020,BVT15          ,W,L,L,G98  ,45.5625,45  9/16,15,36.875,36 7/8,68-3770-40     ,3.5X16 CR LKFRST CLYPSO WHEAT4,45.75,45 3/4,68-3770-40     ,3.5X16 CR LKFRST CLYPSO WHEAT4,,,FALSO
878,3442284.001,02/27/2020,03/02/2020,GVT15LVR       ,,,,G85  ,,,21,77,77,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,,,,,FALSO
2401,3461105.001,03/02/2020,12/31/1899,BVT15          ,B,R,S,G85  ,74.5,74 1/2,24,58,58,68-3792-40     ,"'3.5"" X 16'' TAPESTRY MISTY -2'",74.75,74 3/4,68-3792-40     ,"'3.5"" X 16'' TAPESTRY MISTY -2'",,,FALSO
1294,3447700.009,02/28/2020,03/02/2020,BVT15          ,B,L,S,G85  ,117.5,117 1/2,38,36,36,68-9306-41     ,3.5X82.5CR DPLX WHT -2,117.75,117 3/4,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
592,3437905.001,02/27/2020,02/28/2020,BVT15          ,B,R,R,G85  ,98.75,98 3/4,32,84,84,68-3973-40     ,3.5X16 FIBER WHITE -2,99,99,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
1872,3455189.007,02/29/2020,12/31/1899,BVT15          ,B,R,S,G85  ,72.75,72 3/4,24,32.5,32 1/2,68-9020-40     ,3.5X16 CR STOWE YEW  -2,73,73,68-9020-40     ,3.5X16 CR STOWE YEW  -2,,,FALSO
722,3439847.004,02/27/2020,02/28/2020,GVT15          ,B,L,L,G71  ,65.875,65 7/8,21,59.75,59 3/4,68-3395-40     ,3.5X16 QTM S-SHP MODEL -3,,,,,,,FALSO
855,3441776.003,02/27/2020,12/31/1899,BVT15          ,B,L,L,G98  ,69.6875,69 11/16,23,76.125,76 1/8,68-3973-40     ,3.5X16 FIBER WHITE -2,70.25,70 1/4,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
2387,3460978.001,03/02/2020,12/31/1899,BVT15          ,B,L,S,G85  ,113.75,113 3/4,38,82.5,82 1/2,68-6800-40     ,3.5X16 CR CHENILLE SYRAH -2,114,114,68-6800-40     ,3.5X16 CR CHENILLE SYRAH -2,,,FALSO
663,3438614.001,02/27/2020,02/27/2020,SSVT15         ,B,L,L,G98  ,60.9375,60 15/16,20,79.125,79 1/8,68-3770-40     ,3.5X16 CR LKFRST CLYPSO WHEAT4,61.5,61 1/2,68-3770-40     ,3.5X16 CR LKFRST CLYPSO WHEAT4,,,FALSO
403,3433159.001,02/26/2020,02/28/2020,GVT15          ,B,R,R,G98  ,57.1875,57  3/16,36,36.625,36 5/8,68-3736-40     ,2X16 CROWN WHITE -1,,,,,,,FALSO
836,3441665.001,02/27/2020,02/27/2020,SSVT15         ,B,L,L,G98  ,56.9375,56 15/16,19,56,56,68-9021-40     ,3.5X16 CR STOWE RESORT -2,57.5,57 1/2,68-9021-40     ,3.5X16 CR STOWE RESORT -2,,,FALSO
2620,3464029.001,03/02/2020,12/31/1899,BVT15          ,B,R,S,G98  ,41.6875,41 11/16,14,54.75,54 3/4,68-6698-40     ,"'3.5""X16''GRGTOWN-S CPTOL HILL-2'",42.25,42 1/4,68-6498-40     ,"'3.5""X16''CRWN GRGTOWN CAPTLHL-2'",,,FALSO
1441,3450378.004,02/28/2020,03/02/2020,GVT15          ,B,R,R,G71  ,79.875,79 7/8,26,81,81,68-9021-40     ,3.5X16 CR STOWE RESORT -2,80,80,68-9021-40     ,3.5X16 CR STOWE RESORT -2,,,FALSO
430,3434474.03,02/26/2020,12/31/1899,BVT15          ,B,R,S,G85  ,53.75,53 3/4,18,46.5,46 1/2,68-3973-40     ,3.5X16 FIBER WHITE -2,54,54,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
2061,3457670.001,03/02/2020,12/31/1899,BVT15          ,W,R,R,G98  ,85.8125,85 13/16,28,47.5,47 1/2,68-6587-40     ,"'3.5"" X 16'' GROTTO ALAB -2'",86,86,68-6587-40     ,"'3.5"" X 16'' GROTTO ALAB -2'",,,FALSO
2814,3465594.004,03/02/2020,12/31/1899,GVT15LVR       ,,, ,G71  ,,,40,104,104,68-9307-40     ,3.5X16CR DPLX IVORY -3,,,,,,,FALSO
275,3428685.003,02/26/2020,03/02/2020,BVT15          ,B,R,S,G98  ,30.4375,30  7/16,10,19.75,19 3/4,68-3397-40     ,3.5X16 QTM S-SHP SHIPWRECK 4,31,31,68-6875-40     ,3.5X16 EMB QUANTUM SHIPWRECK 4,,,FALSO
2591,3463845.001,03/02/2020,12/31/1899,BVT15LVR       ,,, ,G98  ,,,20,108,108,68-9306-40     ,3.5X16CR DPLX WHT -2,,,,,,,FALSO
859,3441783.001,02/27/2020,03/02/2020,BVT15          ,W,L,L,G85  ,77.75,77 3/4,25,80.5,80 1/2,68-3973-40     ,3.5X16 FIBER WHITE -2,78,78,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
