WorkOrderNumber;DateCreated;DatePrinted;ProductNumber;ControlType;ControlPosition;StackPosition;HeadrailType;TrackWidthNumeric;TrackWidthFraction;LouverQty;FinalLouverLengthNumeric;FinalLouverLengthFraction;LouverComponentNumber;LouverComponentDesc;ValanceBaseWidthNumeric;ValanceBaseWidthFraction;ValanceInsert ComponentNumber;ValanceInsertComponentDesc
2440802.001;02/18/2020;12/31/1899;GVT15          ;W;R;R;G85  ;35.5;35 1/2;12;70;70;68-3356-41     ;"3.45""X82.5"" CROWN WHITE -1";35.75;35 3/4;68-3356-41     ;"3.45""X82.5"" CROWN WHITE -1"
2440802.002;11/19/2019;12/31/1899;GVT15          ;W;R;R;G85  ;35.5;35 1/2;12;82;82;68-3356-41     ;"3.45""X82.5"" CROWN WHITE -1";35.75;35 3/4;68-3356-41     ;"3.45""X82.5"" CROWN WHITE -1"
2440802.003;02/18/2020;12/31/1899;GVT15          ;W;R;R;G85  ;47.5;47 1/2;16;70;70;68-3356-41     ;"3.45""X82.5"" CROWN WHITE -1";47.75;47 3/4;68-3356-40     ;3.45X16 CRWN/HAMLTN WHITE -1
2899800.008;12/12/2019;12/31/1899;GVT15          ;B;R;R;G85  ;51;51;17;61.875;61 7/8;68-3356-41     ;3.45X16 CRWN/HAMLTN MSTYGRY -2;51.25;51 1/4;68-3356-41     ;3.45X16 CRWN/HAMLTN MSTYGRY -2
2899800.008;12/12/2019;12/31/1899;GVT15          ;B;R;R;G85  ;51;51;17;61.875;61 7/8;68-3356-41     ;3.45X16 CRWN/HAMLTN MSTYGRY -2;;;;
2440802.004;01/15/2020;12/31/1899;GVT15          ;W;R;R;G85  ;59.5;59 1/2;19;82;82;68-3356-41     ;"3.45""X82.5"" CROWN WHITE -1";59.75;59 3/4;68-3356-40     ;3.45X16 CRWN/HAMLTN WHITE -1
2899800.007;12/12/2019;12/31/1899;GVT15          ;B;R;R;G85  ;49.5;49 1/2;16;61.875;61 7/8;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2;49.75;49 3/4;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2
2899800.008;12/12/2019;12/31/1899;GVT15          ;B;R;R;G85  ;51;51;17;61.875;61 7/8;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2;51.25;51 1/4;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2
3270064.001;02/27/2020;02/28/2020;BVT15LVR       ;W;;R;G98  ;;;25;96;96;68-9306-40     ;3.5X16CR DPLX WHT -2;;;;
